time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2020-01-02 09:30:00-05:00,buy,new,,CZR,stock,,0.0,,,market,1,
2020-01-02 09:30:00-05:00,buy,fill,251.0,CZR,stock,,0.0,,60.2599983215332,market,1,0.0
2020-01-03 09:30:00-05:00,buy,new,,MMM,stock,,0.0,,,market,1,
2020-01-03 09:30:00-05:00,buy,new,,AMD,stock,,0.0,,,market,1,
2020-01-03 09:30:00-05:00,buy,new,,ALGN,stock,,0.0,,,market,1,
2020-01-03 09:30:00-05:00,buy,fill,84.0,MMM,stock,,0.0,,148.01004028320312,market,1,0.0
2020-01-03 09:30:00-05:00,buy,fill,259.0,AMD,stock,,0.0,,48.029998779296875,market,1,0.0
2020-01-03 09:30:00-05:00,buy,fill,44.0,ALGN,stock,,0.0,,279.1000061035156,market,1,0.0
2020-01-06 09:30:00-05:00,buy,new,,AXON,stock,,0.0,,,market,1,
2020-01-06 09:30:00-05:00,buy,fill,96.0,AXON,stock,,0.0,,74.12000274658203,market,1,0.0
2020-01-07 09:30:00-05:00,sell,new,,AXON,stock,,0.0,,,market,1,
2020-01-07 09:30:00-05:00,buy,new,,ACN,stock,,0.0,,,market,1,
2020-01-07 09:30:00-05:00,buy,new,,A,stock,,0.0,,,market,1,
2020-01-07 09:30:00-05:00,buy,new,,ALLE,stock,,0.0,,,market,1,
2020-01-07 09:30:00-05:00,sell,fill,96.0,AXON,stock,,0.0,,68.81999969482422,market,1,0.0
2020-01-07 09:30:00-05:00,buy,fill,29.0,ACN,stock,,0.0,,203.1999969482422,market,1,0.0
2020-01-07 09:30:00-05:00,buy,fill,71.0,A,stock,,0.0,,83.95999908447266,market,1,0.0
2020-01-07 09:30:00-05:00,buy,fill,49.0,ALLE,stock,,0.0,,123.30000305175781,market,1,0.0
2020-01-08 09:30:00-05:00,buy,new,,AME,stock,,0.0,,,market,1,
2020-01-08 09:30:00-05:00,buy,new,,APA,stock,,0.0,,,market,1,
2020-01-08 09:30:00-05:00,buy,new,,AMAT,stock,,0.0,,,market,1,
