Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,68.0%
,,
Total Return,3%,1%
CAGR% (Annual Return),1.34%,0.32%
,,
Sharpe,-0.1,-0.3
RoMaD,0.05,0.01
Corr to Benchmark,1.0,0.19
Prob. Sharpe Ratio,11.93%,9.94%
Smart Sharpe,-0.1,-0.29
Sortino,-0.14,-0.41
Smart Sortino,-0.13,-0.4
Sortino/√2,-0.1,-0.29
Smart Sortino/√2,-0.09,-0.28
Omega,0.95,0.95
,,
Max Drawdown,-24.47%,-22.45%
Longest DD Days,707,621
Volatility (ann.),19.46%,13.14%
R^2,0.03,0.03
Information Ratio,-0.0,-0.0
Calmar,0.05,0.01
Skew,-0.07,-0.09
Kurtosis,3.23,3.16
,,
Expected Daily%,0.0%,0.0%
Expected Monthly%,0.11%,0.03%
Expected Yearly%,0.89%,0.22%
Daily Value-at-Risk,-1.67%,-1.13%
Expected Shortfall (cVaR),-1.67%,-1.13%
,,
MTD,0.0%,0.0%
3M,11.64%,5.24%
6M,8.05%,5.09%
YTD,0.0%,0.0%
1Y,26.21%,11.21%
3Y (ann.),1.34%,0.32%
5Y (ann.),1.34%,0.32%
10Y (ann.),1.34%,0.32%
All-time (ann.),1.34%,0.32%
,,
Best Day,5.5%,3.33%
Worst Day,-4.35%,-2.61%
Best Month,9.21%,8.91%
Worst Month,-9.24%,-7.76%
Best Year,26.21%,11.21%
Worst Year,-18.63%,-9.49%
,,
Avg. Drawdown,-6.58%,-6.86%
Avg. Drawdown Days,180,143
Recovery Factor,0.26,0.11
Ulcer Index,0.13,0.12
Serenity Index,0.0,-0.01
,,
Avg. Up Month,5.51%,3.98%
Avg. Down Month,-5.08%,-3.14%
Win Days,363.04,385.16
Loss Days,365.96,343.84
Win Days%,49.8%,52.83%
Win Month%,54.17%,45.83%
Win Quarter%,50.0%,37.5%
Win Year%,50.0%,50.0%
,,
Beta,-,0.13
Alpha,-,0.01
Correlation,-,18.57%
Treynor Ratio,-,-36.58%
