Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,69.0%
,,
Total Return,3%,-0%
CAGR% (Annual Return),1.34%,-0.24%
,,
Sharpe,-0.1,-0.32
RoMaD,0.05,-0.01
Corr to Benchmark,1.0,0.19
Prob. Sharpe Ratio,11.93%,9.04%
Smart Sharpe,-0.09,-0.31
Sortino,-0.14,-0.42
Smart Sortino,-0.13,-0.42
Sortino/√2,-0.1,-0.3
Smart Sortino/√2,-0.09,-0.29
Omega,0.95,0.95
,,
Max Drawdown,-24.47%,-16.91%
Longest DD Days,707,623
Volatility (ann.),19.46%,13.84%
R^2,0.03,0.03
Information Ratio,-0.01,-0.01
Calmar,0.05,-0.01
Skew,-0.07,-0.55
Kurtosis,3.23,3.78
,,
Expected Daily%,0.0%,-0.0%
Expected Monthly%,0.11%,-0.02%
Expected Yearly%,0.89%,-0.16%
Daily Value-at-Risk,-1.67%,-1.19%
Expected Shortfall (cVaR),-1.67%,-1.19%
,,
MTD,0.0%,0.0%
3M,11.64%,3.37%
6M,8.05%,1.85%
YTD,0.0%,0.0%
1Y,26.21%,4.18%
3Y (ann.),1.34%,-0.24%
5Y (ann.),1.34%,-0.24%
10Y (ann.),1.34%,-0.24%
All-time (ann.),1.34%,-0.24%
,,
Best Day,5.5%,2.51%
Worst Day,-4.35%,-4.5%
Best Month,9.21%,7.07%
Worst Month,-9.24%,-5.73%
Best Year,26.21%,4.18%
Worst Year,-18.63%,-4.47%
,,
Avg. Drawdown,-6.58%,-6.02%
Avg. Drawdown Days,180,142
Recovery Factor,0.26,0.08
Ulcer Index,0.13,0.1
Serenity Index,0.0,-0.02
,,
Avg. Up Month,6.27%,3.89%
Avg. Down Month,-5.3%,-3.07%
Win Days,363.04,378.32
Loss Days,365.96,350.68
Win Days%,49.8%,51.9%
Win Month%,54.17%,41.67%
Win Quarter%,50.0%,50.0%
Win Year%,50.0%,50.0%
,,
Beta,-,0.13
Alpha,-,0.0
Correlation,-,18.66%
Treynor Ratio,-,-43.06%
