Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,69.0%
,,
Total Return,173%,113%
CAGR% (Annual Return),11.8%,8.75%
,,
Sharpe,0.42,0.28
RoMaD,0.35,0.28
Corr to Benchmark,1.0,0.23
Prob. Sharpe Ratio,19.32%,10.58%
Smart Sharpe,0.42,0.27
Sortino,0.59,0.38
Smart Sortino,0.58,0.37
Sortino/√2,0.42,0.27
Smart Sortino/√2,0.41,0.26
Omega,1.05,1.05
,,
Max Drawdown,-33.68%,-31.23%
Longest DD Days,708,786
Volatility (ann.),18.08%,16.92%
R^2,0.05,0.05
Information Ratio,-0.01,-0.01
Calmar,0.35,0.28
Skew,-0.6,-0.48
Kurtosis,19.59,5.55
,,
Expected Daily%,0.03%,0.02%
Expected Monthly%,0.92%,0.69%
Expected Yearly%,10.55%,7.84%
Daily Value-at-Risk,-1.52%,-1.43%
Expected Shortfall (cVaR),-1.52%,-1.43%
,,
MTD,0.0%,0.0%
3M,11.64%,3.25%
6M,8.05%,2.87%
YTD,0.0%,0.0%
1Y,26.21%,8.19%
3Y (ann.),10.05%,2.48%
5Y (ann.),14.11%,9.33%
10Y (ann.),11.8%,8.75%
All-time (ann.),11.8%,8.75%
,,
Best Day,9.06%,5.88%
Worst Day,-10.94%,-5.34%
Best Month,12.7%,11.58%
Worst Month,-12.44%,-11.25%
Best Year,31.23%,35.82%
Worst Year,-18.16%,-20.78%
,,
Avg. Drawdown,-1.64%,-3.26%
Avg. Drawdown Days,19,43
Recovery Factor,3.42,2.83
Ulcer Index,0.08,0.12
Serenity Index,0.96,0.27
,,
Avg. Up Month,3.76%,4.03%
Avg. Down Month,-4.53%,-4.8%
Win Days,1782.95,1846.0
Loss Days,1502.05,1439.0
Win Days%,54.28%,56.19%
Win Month%,68.52%,61.11%
Win Quarter%,77.78%,63.89%
Win Year%,77.78%,77.78%
,,
Beta,-,0.22
Alpha,-,0.07
Correlation,-,23.43%
Treynor Ratio,-,489.94%
