Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,70.0%
,,
Total Return,173%,68%
CAGR% (Annual Return),11.8%,5.95%
,,
Sharpe,0.42,0.12
RoMaD,0.35,0.3
Corr to Benchmark,1.0,0.25
Prob. Sharpe Ratio,19.32%,7.06%
Smart Sharpe,0.41,0.11
Sortino,0.59,0.16
Smart Sortino,0.57,0.15
Sortino/√2,0.42,0.11
Smart Sortino/√2,0.4,0.11
Omega,1.02,1.02
,,
Max Drawdown,-33.68%,-20.06%
Longest DD Days,708,621
Volatility (ann.),18.08%,13.27%
R^2,0.06,0.06
Information Ratio,-0.02,-0.02
Calmar,0.35,0.3
Skew,-0.6,-1.12
Kurtosis,19.59,11.77
,,
Expected Daily%,0.03%,0.02%
Expected Monthly%,0.92%,0.48%
Expected Yearly%,10.55%,5.34%
Daily Value-at-Risk,-1.52%,-1.12%
Expected Shortfall (cVaR),-1.52%,-1.12%
,,
MTD,0.0%,0.0%
3M,11.64%,3.55%
6M,8.05%,-0.87%
YTD,0.0%,0.0%
1Y,26.21%,4.56%
3Y (ann.),10.05%,6.74%
5Y (ann.),14.11%,6.14%
10Y (ann.),11.8%,5.95%
All-time (ann.),11.8%,5.95%
,,
Best Day,9.06%,4.85%
Worst Day,-10.94%,-7.04%
Best Month,12.7%,9.16%
Worst Month,-12.44%,-10.03%
Best Year,31.23%,31.14%
Worst Year,-18.16%,-10.48%
,,
Avg. Drawdown,-1.64%,-2.48%
Avg. Drawdown Days,19,42
Recovery Factor,3.42,2.99
Ulcer Index,0.08,0.07
Serenity Index,0.96,0.39
,,
Avg. Up Month,3.75%,3.22%
Avg. Down Month,-4.59%,-3.69%
Win Days,1782.95,1829.99
Loss Days,1502.05,1455.01
Win Days%,54.28%,55.71%
Win Month%,68.52%,60.19%
Win Quarter%,77.78%,66.67%
Win Year%,77.78%,55.56%
,,
Beta,-,0.18
Alpha,-,0.04
Correlation,-,24.63%
Treynor Ratio,-,348.09%
