date,portfolio_value,cash,positions,total_value
2020-01-02 09:30:00-05:00,100000.0,100000.0,0,100000.0
2020-01-03 09:30:00-05:00,99623.5,84874.74042129517,1,99623.5
2020-01-06 09:30:00-05:00,99184.71004867554,47721.727085113525,4,99184.71004867554
2020-01-07 09:30:00-05:00,99855.19395446777,40606.20682144165,5,99855.19395446777
2020-01-08 09:30:00-05:00,99665.68940353394,29317.266796112057,7,99665.68940353394
2020-01-09 09:30:00-05:00,100778.31057357788,16181.4969291687,10,100778.31057357788
2020-01-10 09:30:00-05:00,101126.69286727905,16181.4969291687,10,101126.69286727905
2020-01-13 09:30:00-05:00,100621.49718475342,16181.4969291687,10,100621.49718475342
2020-01-14 09:30:00-05:00,100399.5922164917,16181.4969291687,10,100399.5922164917
2020-01-15 09:30:00-05:00,100402.63989257812,16181.4969291687,10,100402.63989257812
2020-01-16 09:30:00-05:00,100294.55596923828,16181.4969291687,10,100294.55596923828
2020-01-17 09:30:00-05:00,101278.6626586914,28142.456768035885,9,101278.6626586914
2020-01-21 09:30:00-05:00,101113.42977142334,15743.83655929565,12,101113.42977142334
2020-01-22 09:30:00-05:00,100935.04399490356,15743.83655929565,12,100935.04399490356
2020-01-23 09:30:00-05:00,100459.93026351929,15743.83655929565,12,100459.93026351929
2020-01-24 09:30:00-05:00,101277.24374771118,15743.83655929565,12,101277.24374771118
2020-01-27 09:30:00-05:00,97934.38360404968,19553.376354217526,11,97934.38360404968
2020-01-28 09:30:00-05:00,98131.90965461731,42350.48622894287,8,98131.90965461731
2020-01-29 09:30:00-05:00,98161.07080554962,35413.550537109375,10,98161.07080554962
2020-01-30 09:30:00-05:00,97004.39068031311,39325.85047531128,9,97004.39068031311
2020-01-31 09:30:00-05:00,97138.38070487976,39701.10089111328,10,97138.38070487976
2020-02-03 09:30:00-05:00,96787.1607170105,45667.23080444336,9,96787.1607170105
2020-02-04 09:30:00-05:00,98098.22131443024,38768.0309753418,10,98098.22131443024
2020-02-05 09:30:00-05:00,99691.51146030426,38768.0309753418,10,99691.51146030426
2020-02-06 09:30:00-05:00,98961.62083530426,38768.0309753418,10,98961.62083530426
2020-02-07 09:30:00-05:00,98683.15057754517,38768.0309753418,10,98683.15057754517
2020-02-10 09:30:00-05:00,98568.38144397736,38768.0309753418,10,98568.38144397736
2020-02-11 09:30:00-05:00,99484.65122032166,38768.0309753418,10,99484.65122032166
2020-02-12 09:30:00-05:00,99380.5610370636,38768.0309753418,10,99380.5610370636
2020-02-13 09:30:00-05:00,98714.66118812561,38768.0309753418,10,98714.66118812561
2020-02-14 09:30:00-05:00,98941.59076499939,44852.40093040466,9,98941.59076499939
2020-02-18 09:30:00-05:00,98851.60174369812,30619.241193771362,11,98851.60174369812
2020-02-19 09:30:00-05:00,99363.72154808044,30619.241193771362,11,99363.72154808044
2020-02-20 09:30:00-05:00,99511.74220466614,30619.241193771362,11,99511.74220466614
2020-02-21 09:30:00-05:00,98851.62123680115,36928.97140312195,10,98851.62123680115
2020-02-24 09:30:00-05:00,95698.52118873596,36928.97140312195,10,95698.52118873596
2020-02-25 09:30:00-05:00,95945.43106651306,67593.65096092224,5,95945.43106651306
2020-02-26 09:30:00-05:00,94974.55061149597,67593.65096092224,5,94974.55061149597
2020-02-27 09:30:00-05:00,94331.73079490662,71786.45088768005,4,94331.73079490662
2020-02-28 09:30:00-05:00,93967.55095481873,88356.82071495056,1,93967.55095481873
2020-03-02 09:30:00-05:00,93967.55095481873,93967.55095481873,0,93967.55095481873
2020-03-03 09:30:00-05:00,93967.55095481873,93967.55095481873,0,93967.55095481873
2020-03-04 09:30:00-05:00,93967.55095481873,93967.55095481873,0,93967.55095481873
2020-03-05 09:30:00-05:00,93967.55095481873,93967.55095481873,0,93967.55095481873
2020-03-06 09:30:00-05:00,93735.2612400055,79896.65075111389,1,93735.2612400055
2020-03-09 10:30:00-04:00,93163.88038444519,79896.65075111389,1,93163.88038444519
2020-03-10 10:30:00-04:00,93743.10102653503,57308.01110267639,3,93743.10102653503
2020-03-11 10:30:00-04:00,93454.69170188904,71584.83144569397,2,93454.69170188904
2020-03-12 10:30:00-04:00,91935.13142967224,71584.83144569397,2,91935.13142967224
2020-03-13 10:30:00-04:00,92122.03163337708,79161.85138893127,1,92122.03163337708
2020-03-16 10:30:00-04:00,91582.69151115417,79161.85138893127,1,91582.69151115417
2020-03-17 10:30:00-04:00,91582.69151115417,91582.69151115417,0,91582.69151115417
2020-03-18 10:30:00-04:00,92475.07125663757,77602.07125663757,1,92475.07125663757
2020-03-19 10:30:00-04:00,91574.3507900238,77602.07125663757,1,91574.3507900238
2020-03-20 10:30:00-04:00,90704.21155357361,77602.07125663757,1,90704.21155357361
2020-03-23 10:30:00-04:00,90704.21155357361,90704.21155357361,0,90704.21155357361
2020-03-24 10:30:00-04:00,90704.21155357361,90704.21155357361,0,90704.21155357361
2020-03-25 10:30:00-04:00,90704.21155357361,90704.21155357361,0,90704.21155357361
2020-03-26 10:30:00-04:00,90704.21155357361,90704.21155357361,0,90704.21155357361
2020-03-27 10:30:00-04:00,90704.21155357361,90704.21155357361,0,90704.21155357361
2020-03-30 10:30:00-04:00,90704.21155357361,90704.21155357361,0,90704.21155357361
2020-03-31 10:30:00-04:00,90704.21155357361,90704.21155357361,0,90704.21155357361
2020-04-01 10:30:00-04:00,90704.21155357361,90704.21155357361,0,90704.21155357361
2020-04-02 10:30:00-04:00,90704.21155357361,90704.21155357361,0,90704.21155357361
2020-04-03 10:30:00-04:00,90704.21155357361,90704.21155357361,0,90704.21155357361
2020-04-06 10:30:00-04:00,90704.21155357361,90704.21155357361,0,90704.21155357361
