time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2020-01-06 09:30:00-05:00,buy,new,,GE,stock,,0.0,,,market,1,
2020-01-06 09:30:00-05:00,buy,fill,9.0,GE,stock,,0.0,,59.01215744018555,market,1,0.0
2020-01-07 09:30:00-05:00,buy,new,,GOOGL,stock,,0.0,,,market,1,
2020-01-07 09:30:00-05:00,buy,new,,MCD,stock,,0.0,,,market,1,
2020-01-07 09:30:00-05:00,buy,fill,10.0,GOOGL,stock,,0.0,,70.02300262451172,market,1,0.0
2020-01-07 09:30:00-05:00,buy,fill,1.0,MCD,stock,,0.0,,201.8699951171875,market,1,0.0
2020-01-08 09:30:00-05:00,buy,new,,MU,stock,,0.0,,,market,1,
2020-01-08 09:30:00-05:00,buy,new,,MCHP,stock,,0.0,,,market,1,
2020-01-08 09:30:00-05:00,buy,fill,7.0,MU,stock,,0.0,,58.09000015258789,market,1,0.0
2020-01-08 09:30:00-05:00,buy,fill,11.0,MCHP,stock,,0.0,,55.29999923706055,market,1,0.0
2020-01-17 09:30:00-05:00,sell,new,,MCD,stock,,0.0,,,market,1,
2020-01-17 09:30:00-05:00,sell,fill,1.0,MCD,stock,,0.0,,211.4199981689453,market,1,0.0
2020-01-21 09:30:00-05:00,sell,new,,GOOGL,stock,,0.0,,,market,1,
2020-01-21 09:30:00-05:00,buy,new,,MSFT,stock,,0.0,,,market,1,
2020-01-21 09:30:00-05:00,buy,new,,TTWO,stock,,0.0,,,market,1,
2020-01-21 09:30:00-05:00,sell,fill,10.0,GOOGL,stock,,0.0,,73.94999694824219,market,1,0.0
2020-01-21 09:30:00-05:00,buy,fill,1.0,MSFT,stock,,0.0,,166.67999267578125,market,1,0.0
2020-01-21 09:30:00-05:00,buy,fill,1.0,TTWO,stock,,0.0,,129.07000732421875,market,1,0.0
2020-01-27 09:30:00-05:00,sell,new,,GE,stock,,0.0,,,market,1,
2020-01-27 09:30:00-05:00,sell,new,,MU,stock,,0.0,,,market,1,
2020-01-27 09:30:00-05:00,sell,new,,MCHP,stock,,0.0,,,market,1,
2020-01-27 09:30:00-05:00,sell,new,,MSFT,stock,,0.0,,,market,1,
2020-01-27 09:30:00-05:00,sell,new,,TTWO,stock,,0.0,,,market,1,
2020-01-27 09:30:00-05:00,sell,fill,9.0,GE,stock,,0.0,,57.06834411621094,market,1,0.0
2020-01-27 09:30:00-05:00,sell,fill,7.0,MU,stock,,0.0,,55.150001525878906,market,1,0.0
2020-01-27 09:30:00-05:00,sell,fill,11.0,MCHP,stock,,0.0,,51.439998626708984,market,1,0.0
2020-01-27 09:30:00-05:00,sell,fill,1.0,MSFT,stock,,0.0,,161.14999389648438,market,1,0.0
2020-01-27 09:30:00-05:00,sell,fill,1.0,TTWO,stock,,0.0,,122.19000244140625,market,1,0.0
2020-01-30 09:30:00-05:00,buy,new,,GE,stock,,0.0,,,market,1,
2020-01-30 09:30:00-05:00,buy,new,,TROW,stock,,0.0,,,market,1,
2020-01-30 09:30:00-05:00,buy,fill,5.0,GE,stock,,0.0,,64.24549865722656,market,1,0.0
2020-01-30 09:30:00-05:00,buy,fill,1.0,TROW,stock,,0.0,,132.39999389648438,market,1,0.0
2020-01-31 09:30:00-05:00,buy,new,,BEN,stock,,0.0,,,market,1,
2020-01-31 09:30:00-05:00,buy,new,,TT,stock,,0.0,,,market,1,
2020-01-31 09:30:00-05:00,buy,fill,41.0,BEN,stock,,0.0,,26.0,market,1,0.0
2020-01-31 09:30:00-05:00,buy,fill,3.0,TT,stock,,0.0,,104.16602325439453,market,1,0.0
2020-02-03 09:30:00-05:00,buy,new,,AMZN,stock,,0.0,,,market,1,
2020-02-03 09:30:00-05:00,buy,fill,2.0,AMZN,stock,,0.0,,100.52999877929688,market,1,0.0
2020-02-12 09:30:00-05:00,sell,new,,TT,stock,,0.0,,,market,1,
2020-02-12 09:30:00-05:00,sell,fill,3.0,TT,stock,,0.0,,112.4515151977539,market,1,0.0
2020-02-13 09:30:00-05:00,sell,new,,BEN,stock,,0.0,,,market,1,
2020-02-13 09:30:00-05:00,buy,new,,GNRC,stock,,0.0,,,market,1,
2020-02-13 09:30:00-05:00,sell,fill,41.0,BEN,stock,,0.0,,24.489999771118164,market,1,0.0
2020-02-13 09:30:00-05:00,buy,fill,1.0,GNRC,stock,,0.0,,112.58000183105469,market,1,0.0
2020-02-14 09:30:00-05:00,buy,new,,CDNS,stock,,0.0,,,market,1,
2020-02-14 09:30:00-05:00,buy,fill,3.0,CDNS,stock,,0.0,,79.55999755859375,market,1,0.0
2020-02-19 09:30:00-05:00,sell,new,,AMZN,stock,,0.0,,,market,1,
2020-02-19 09:30:00-05:00,sell,fill,2.0,AMZN,stock,,0.0,,108.38999938964844,market,1,0.0
2020-02-20 09:30:00-05:00,buy,new,,HSIC,stock,,0.0,,,market,1,
2020-02-20 09:30:00-05:00,buy,new,,GRMN,stock,,0.0,,,market,1,
2020-02-20 09:30:00-05:00,buy,fill,4.0,HSIC,stock,,0.0,,73.0,market,1,0.0
2020-02-20 09:30:00-05:00,buy,fill,2.0,GRMN,stock,,0.0,,103.5,market,1,0.0
2020-02-21 09:30:00-05:00,sell,new,,GE,stock,,0.0,,,market,1,
2020-02-21 09:30:00-05:00,sell,new,,CDNS,stock,,0.0,,,market,1,
2020-02-21 09:30:00-05:00,sell,new,,HSIC,stock,,0.0,,,market,1,
2020-02-21 09:30:00-05:00,sell,new,,GRMN,stock,,0.0,,,market,1,
2020-02-21 09:30:00-05:00,sell,fill,5.0,GE,stock,,0.0,,62.0524787902832,market,1,0.0
2020-02-21 09:30:00-05:00,sell,fill,3.0,CDNS,stock,,0.0,,75.95999908447266,market,1,0.0
2020-02-21 09:30:00-05:00,sell,fill,4.0,HSIC,stock,,0.0,,68.6500015258789,market,1,0.0
2020-02-21 09:30:00-05:00,sell,fill,2.0,GRMN,stock,,0.0,,99.33000183105469,market,1,0.0
2020-02-24 09:30:00-05:00,sell,new,,TROW,stock,,0.0,,,market,1,
2020-02-24 09:30:00-05:00,sell,fill,1.0,TROW,stock,,0.0,,132.36000061035156,market,1,0.0
2020-02-25 09:30:00-05:00,buy,new,,D,stock,,0.0,,,market,1,
2020-02-25 09:30:00-05:00,buy,fill,5.0,D,stock,,0.0,,89.80000305175781,market,1,0.0
2020-02-26 09:30:00-05:00,sell,new,,GNRC,stock,,0.0,,,market,1,
2020-02-26 09:30:00-05:00,sell,fill,1.0,GNRC,stock,,0.0,,107.98999786376953,market,1,0.0
2020-02-27 09:30:00-05:00,sell,new,,D,stock,,0.0,,,market,1,
2020-02-27 09:30:00-05:00,sell,fill,5.0,D,stock,,0.0,,85.41999816894531,market,1,0.0
2020-03-05 09:30:00-05:00,buy,new,,KMB,stock,,0.0,,,market,1,
2020-03-05 09:30:00-05:00,buy,new,,DGX,stock,,0.0,,,market,1,
2020-03-05 09:30:00-05:00,buy,fill,1.0,KMB,stock,,0.0,,144.55999755859375,market,1,0.0
2020-03-05 09:30:00-05:00,buy,fill,1.0,DGX,stock,,0.0,,118.30000305175781,market,1,0.0
2020-03-06 09:30:00-05:00,sell,new,,KMB,stock,,0.0,,,market,1,
2020-03-06 09:30:00-05:00,sell,fill,1.0,KMB,stock,,0.0,,139.13999938964844,market,1,0.0
2020-03-09 10:30:00-04:00,sell,new,,DGX,stock,,0.0,,,market,1,
2020-03-09 10:30:00-04:00,sell,fill,1.0,DGX,stock,,0.0,,109.04000091552734,market,1,0.0
2020-05-28 10:30:00-04:00,buy,new,,RF,stock,,0.0,,,market,1,
2020-05-28 10:30:00-04:00,buy,fill,83.0,RF,stock,,0.0,,12.15999984741211,market,1,0.0
2020-05-29 10:30:00-04:00,buy,new,,DELL,stock,,0.0,,,market,1,
2020-05-29 10:30:00-04:00,buy,fill,31.0,DELL,stock,,0.0,,24.835275650024414,market,1,0.0
2020-06-01 10:30:00-04:00,buy,new,,UBER,stock,,0.0,,,market,1,
2020-06-01 10:30:00-04:00,buy,fill,9.0,UBER,stock,,0.0,,35.63999938964844,market,1,0.0
2020-06-02 10:30:00-04:00,buy,new,,AXON,stock,,0.0,,,market,1,
2020-06-02 10:30:00-04:00,buy,fill,1.0,AXON,stock,,0.0,,91.80000305175781,market,1,0.0
2020-06-03 10:30:00-04:00,buy,new,,GDDY,stock,,0.0,,,market,1,
2020-06-03 10:30:00-04:00,buy,new,,COR,stock,,0.0,,,market,1,
2020-06-03 10:30:00-04:00,buy,fill,2.0,GDDY,stock,,0.0,,80.56999969482422,market,1,0.0
2020-06-03 10:30:00-04:00,buy,fill,1.0,COR,stock,,0.0,,99.08000183105469,market,1,0.0
2020-06-11 10:30:00-04:00,sell,new,,UBER,stock,,0.0,,,market,1,
2020-06-11 10:30:00-04:00,sell,fill,9.0,UBER,stock,,0.0,,32.630001068115234,market,1,0.0
