Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,12.0%
,,
Total Return,164%,-1%
CAGR% (Annual Return),12.72%,-0.1%
,,
Sharpe,0.47,-3.21
RoMaD,0.38,-0.02
Corr to Benchmark,1.0,0.05
Prob. Sharpe Ratio,23.61%,0.13%
Smart Sharpe,0.44,-3.04
Sortino,0.64,-4.19
Smart Sortino,0.61,-3.97
Sortino/√2,0.46,-2.96
Smart Sortino/√2,0.43,-2.8
Omega,0.39,0.39
,,
Max Drawdown,-33.68%,-4.58%
Longest DD Days,708,2926
Volatility (ann.),18.36%,1.62%
R^2,0.0,0.0
Information Ratio,-0.04,-0.04
Calmar,0.38,-0.02
Skew,-0.62,-0.3
Kurtosis,20.17,45.82
,,
Expected Daily%,0.03%,-0.0%
Expected Monthly%,0.98%,-0.01%
Expected Yearly%,10.18%,-0.08%
Daily Value-at-Risk,-1.54%,-0.14%
Expected Shortfall (cVaR),-1.54%,-0.14%
,,
MTD,0.0%,0.0%
3M,11.64%,1.04%
6M,8.05%,-0.25%
YTD,0.0%,0.0%
1Y,26.21%,-0.8%
3Y (ann.),10.05%,-0.38%
5Y (ann.),14.11%,-0.01%
10Y (ann.),12.72%,-0.1%
All-time (ann.),12.72%,-0.1%
,,
Best Day,9.06%,1.01%
Worst Day,-10.94%,-1.11%
Best Month,12.7%,1.73%
Worst Month,-12.44%,-1.85%
Best Year,31.23%,1.65%
Worst Year,-18.16%,-1.68%
,,
Avg. Drawdown,-1.64%,-1.38%
Avg. Drawdown Days,18,736
Recovery Factor,3.29,0.16
Ulcer Index,0.08,0.02
Serenity Index,0.87,-0.1
,,
Avg. Up Month,4.82%,0.74%
Avg. Down Month,-3.26%,-1.05%
Win Days,1625.26,1533.63
Loss Days,1333.74,1425.37
Win Days%,54.93%,51.83%
Win Month%,69.39%,50.0%
Win Quarter%,75.76%,45.45%
Win Year%,66.67%,28.57%
,,
Beta,-,0.0
Alpha,-,-0.0
Correlation,-,4.67%
Treynor Ratio,-,-1472.86%
