Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,54.0%
,,
Total Return,57%,1%
CAGR% (Annual Return),11.92%,0.15%
,,
Sharpe,0.39,-12.93
RoMaD,0.35,0.23
Corr to Benchmark,1.0,0.15
Prob. Sharpe Ratio,22.1%,11.13%
Smart Sharpe,0.38,-12.9
Sortino,0.53,-11.86
Smart Sortino,0.53,-11.83
Sortino/√2,0.38,-8.39
Smart Sortino/√2,0.38,-8.37
Omega,0.14,0.14
,,
Max Drawdown,-33.68%,-0.64%
Longest DD Days,708,546
Volatility (ann.),22.61%,0.38%
R^2,0.02,0.02
Information Ratio,-0.03,-0.03
Calmar,0.35,0.23
Skew,-0.57,-0.71
Kurtosis,16.3,28.02
,,
Expected Daily%,0.03%,0.0%
Expected Monthly%,0.92%,0.01%
Expected Yearly%,9.39%,0.12%
Daily Value-at-Risk,-1.91%,-0.03%
Expected Shortfall (cVaR),-1.91%,-0.03%
,,
MTD,0.0%,0.0%
3M,11.64%,0.35%
6M,8.05%,0.33%
YTD,0.0%,0.0%
1Y,26.21%,0.59%
3Y (ann.),10.05%,0.16%
5Y (ann.),11.92%,0.15%
10Y (ann.),11.92%,0.15%
All-time (ann.),11.92%,0.15%
,,
Best Day,9.06%,0.18%
Worst Day,-10.94%,-0.22%
Best Month,12.7%,0.44%
Worst Month,-12.44%,-0.31%
Best Year,28.77%,0.59%
Worst Year,-18.16%,-0.2%
,,
Avg. Drawdown,-2.12%,-0.08%
Avg. Drawdown Days,21,58
Recovery Factor,1.64,0.92
Ulcer Index,0.1,0.0
Serenity Index,0.3,-1.12
,,
Avg. Up Month,4.45%,0.11%
Avg. Down Month,-4.66%,-0.07%
Win Days,784.54,759.36
Loss Days,672.46,697.64
Win Days%,53.85%,52.12%
Win Month%,60.42%,45.0%
Win Quarter%,68.75%,53.33%
Win Year%,75.0%,75.0%
,,
Beta,-,0.0
Alpha,-,0.0
Correlation,-,15.29%
Treynor Ratio,-,-1793.36%
