time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2020-01-03 09:30:00-05:00,buy,new,,AMD,stock,,0.0,,,market,1,
2020-01-03 09:30:00-05:00,buy,fill,203.0,AMD,stock,,0.0,,48.029998779296875,market,1,0.0
2020-01-10 09:30:00-05:00,buy,new,,ALGN,stock,,0.0,,,market,1,
2020-01-10 09:30:00-05:00,buy,fill,33.0,ALGN,stock,,0.0,,297.2099914550781,market,1,0.0
2020-01-16 09:30:00-05:00,sell,new,,ALGN,stock,,0.0,,,market,1,
2020-01-16 09:30:00-05:00,sell,fill,33.0,ALGN,stock,,0.0,,271.8399963378906,market,1,0.0
2020-01-21 09:30:00-05:00,buy,new,,ADBE,stock,,0.0,,,market,1,
2020-01-21 09:30:00-05:00,buy,fill,28.0,ADBE,stock,,0.0,,346.3699951171875,market,1,0.0
2020-01-31 09:30:00-05:00,sell,new,,AMD,stock,,0.0,,,market,1,
2020-01-31 09:30:00-05:00,sell,fill,203.0,AMD,stock,,0.0,,48.400001525878906,market,1,0.0
2020-06-08 10:30:00-04:00,buy,new,,AOS,stock,,0.0,,,market,1,
2020-06-08 10:30:00-04:00,buy,fill,193.0,AOS,stock,,0.0,,51.869998931884766,market,1,0.0
2020-06-23 10:30:00-04:00,sell,new,,AOS,stock,,0.0,,,market,1,
2020-06-23 10:30:00-04:00,sell,fill,193.0,AOS,stock,,0.0,,47.650001525878906,market,1,0.0
2020-07-07 10:30:00-04:00,buy,new,,AMZN,stock,,0.0,,,market,1,
2020-07-07 10:30:00-04:00,buy,fill,66.0,AMZN,stock,,0.0,,152.92750549316406,market,1,0.0
2020-07-15 10:30:00-04:00,sell,new,,ADBE,stock,,0.0,,,market,1,
2020-07-15 10:30:00-04:00,buy,new,,APD,stock,,0.0,,,market,1,
2020-07-15 10:30:00-04:00,buy,new,,ALGN,stock,,0.0,,,market,1,
2020-07-15 10:30:00-04:00,sell,fill,28.0,ADBE,stock,,0.0,,434.9100036621094,market,1,0.0
2020-07-15 10:30:00-04:00,buy,fill,35.0,APD,stock,,0.0,,282.75,market,1,0.0
2020-07-15 10:30:00-04:00,buy,fill,33.0,ALGN,stock,,0.0,,303.5199890136719,market,1,0.0
2020-07-20 10:30:00-04:00,buy,new,,ALB,stock,,0.0,,,market,1,
2020-07-20 10:30:00-04:00,buy,fill,114.0,ALB,stock,,0.0,,88.75,market,1,0.0
2020-07-24 10:30:00-04:00,sell,new,,AMZN,stock,,0.0,,,market,1,
2020-07-24 10:30:00-04:00,sell,fill,66.0,AMZN,stock,,0.0,,146.5,market,1,0.0
2020-07-27 10:30:00-04:00,buy,new,,AMD,stock,,0.0,,,market,1,
2020-07-27 10:30:00-04:00,buy,fill,144.0,AMD,stock,,0.0,,69.27999877929688,market,1,0.0
2020-07-31 10:30:00-04:00,sell,new,,ALGN,stock,,0.0,,,market,1,
2020-07-31 10:30:00-04:00,sell,new,,ALB,stock,,0.0,,,market,1,
2020-07-31 10:30:00-04:00,sell,fill,33.0,ALGN,stock,,0.0,,297.42999267578125,market,1,0.0
2020-07-31 10:30:00-04:00,sell,fill,114.0,ALB,stock,,0.0,,82.61000061035156,market,1,0.0
