time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2020-07-10 10:30:00-04:00,buy,new,,ADBE,stock,,0.0,,,market,1,
2020-07-10 10:30:00-04:00,buy,fill,21.0,ADBE,stock,,0.0,,460.8299865722656,market,1,0.0
2020-07-17 10:30:00-04:00,sell,new,,ADBE,stock,,0.0,,,market,1,
2020-07-17 10:30:00-04:00,sell,fill,21.0,ADBE,stock,,0.0,,428.1199951171875,market,1,0.0
2021-08-24 10:30:00-04:00,buy,new,,ADBE,stock,,0.0,,,market,1,
2021-08-24 10:30:00-04:00,buy,fill,15.0,ADBE,stock,,0.0,,659.1400146484375,market,1,0.0
2021-12-10 09:30:00-05:00,sell,new,,ADBE,stock,,0.0,,,market,1,
2021-12-10 09:30:00-05:00,sell,fill,15.0,ADBE,stock,,0.0,,638.1300048828125,market,1,0.0
2023-05-19 10:30:00-04:00,buy,new,,GOOGL,stock,,0.0,,,market,1,
2023-05-19 10:30:00-04:00,buy,new,,GOOG,stock,,0.0,,,market,1,
2023-05-19 10:30:00-04:00,buy,fill,80.0,GOOGL,stock,,0.0,,123.55000305175781,market,1,0.0
2023-05-19 10:30:00-04:00,buy,fill,80.0,GOOG,stock,,0.0,,124.19999694824219,market,1,0.0
2023-06-22 10:30:00-04:00,sell,new,,GOOGL,stock,,0.0,,,market,1,
2023-06-22 10:30:00-04:00,sell,new,,GOOG,stock,,0.0,,,market,1,
2023-06-22 10:30:00-04:00,sell,fill,80.0,GOOGL,stock,,0.0,,120.0,market,1,0.0
2023-06-22 10:30:00-04:00,sell,fill,80.0,GOOG,stock,,0.0,,120.66000366210938,market,1,0.0
2023-06-23 10:30:00-04:00,buy,new,,AMZN,stock,,0.0,,,market,1,
2023-06-23 10:30:00-04:00,buy,fill,75.0,AMZN,stock,,0.0,,129.11000061035156,market,1,0.0
2023-07-24 10:30:00-04:00,buy,new,,ABNB,stock,,0.0,,,market,1,
2023-07-24 10:30:00-04:00,buy,fill,66.0,ABNB,stock,,0.0,,147.05999755859375,market,1,0.0
2023-09-01 10:30:00-04:00,sell,new,,AMZN,stock,,0.0,,,market,1,
2023-09-01 10:30:00-04:00,buy,new,,ADBE,stock,,0.0,,,market,1,
2023-09-01 10:30:00-04:00,sell,fill,37.0,AMZN,stock,,0.0,,139.4600067138672,market,1,0.0
2023-09-01 10:30:00-04:00,buy,fill,17.0,ADBE,stock,,0.0,,564.7999877929688,market,1,0.0
2023-10-11 10:30:00-04:00,sell,new,,AMZN,stock,,0.0,,,market,1,
2023-10-11 10:30:00-04:00,sell,new,,ABNB,stock,,0.0,,,market,1,
2023-10-11 10:30:00-04:00,sell,fill,38.0,AMZN,stock,,0.0,,129.74000549316406,market,1,0.0
2023-10-11 10:30:00-04:00,sell,fill,66.0,ABNB,stock,,0.0,,132.1199951171875,market,1,0.0
2023-11-13 09:30:00-05:00,sell,new,,ADBE,stock,,0.0,,,market,1,
2023-11-13 09:30:00-05:00,sell,fill,8.0,ADBE,stock,,0.0,,589.97998046875,market,1,0.0
2023-12-15 09:30:00-05:00,sell,new,,ADBE,stock,,0.0,,,market,1,
2023-12-15 09:30:00-05:00,sell,fill,9.0,ADBE,stock,,0.0,,580.5999755859375,market,1,0.0
