time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2020-01-02 09:30:00-05:00,buy,new,,ALB,stock,,0.0,,,market,1,
2020-01-02 09:30:00-05:00,buy,fill,7.0,ALB,stock,,0.0,,73.5,market,1,0.0
2020-01-03 09:30:00-05:00,buy,new,,MMM,stock,,0.0,,,market,1,
2020-01-03 09:30:00-05:00,buy,new,,AMD,stock,,0.0,,,market,1,
2020-01-03 09:30:00-05:00,buy,fill,2.0,MMM,stock,,0.0,,148.01004028320312,market,1,0.0
2020-01-03 09:30:00-05:00,buy,fill,14.0,AMD,stock,,0.0,,48.029998779296875,market,1,0.0
2020-01-06 09:30:00-05:00,buy,new,,AME,stock,,0.0,,,market,1,
2020-01-06 09:30:00-05:00,buy,fill,8.0,AME,stock,,0.0,,100.30999755859375,market,1,0.0
2020-01-07 09:30:00-05:00,buy,new,,GOOGL,stock,,0.0,,,market,1,
2020-01-07 09:30:00-05:00,buy,new,,GOOG,stock,,0.0,,,market,1,
2020-01-07 09:30:00-05:00,buy,fill,17.0,GOOGL,stock,,0.0,,70.02300262451172,market,1,0.0
2020-01-07 09:30:00-05:00,buy,fill,17.0,GOOG,stock,,0.0,,69.89700317382812,market,1,0.0
2020-01-08 09:30:00-05:00,buy,new,,AME,stock,,0.0,,,market,1,
2020-01-08 09:30:00-05:00,buy,fill,8.0,AME,stock,,0.0,,101.54000091552734,market,1,0.0
2020-01-09 09:30:00-05:00,buy,new,,GOOG,stock,,0.0,,,market,1,
2020-01-09 09:30:00-05:00,buy,fill,17.0,GOOG,stock,,0.0,,71.02850341796875,market,1,0.0
2020-01-10 09:30:00-05:00,buy,new,,GOOGL,stock,,0.0,,,market,1,
2020-01-10 09:30:00-05:00,buy,new,,GOOG,stock,,0.0,,,market,1,
2020-01-10 09:30:00-05:00,buy,fill,16.0,GOOGL,stock,,0.0,,71.47350311279297,market,1,0.0
2020-01-10 09:30:00-05:00,buy,fill,16.0,GOOG,stock,,0.0,,71.37799835205078,market,1,0.0
2020-01-13 09:30:00-05:00,buy,new,,GOOGL,stock,,0.0,,,market,1,
2020-01-13 09:30:00-05:00,buy,new,,GOOG,stock,,0.0,,,market,1,
2020-01-13 09:30:00-05:00,buy,fill,16.0,GOOGL,stock,,0.0,,71.76249694824219,market,1,0.0
2020-01-13 09:30:00-05:00,buy,fill,16.0,GOOG,stock,,0.0,,71.80650329589844,market,1,0.0
2020-01-14 09:30:00-05:00,buy,new,,ALB,stock,,0.0,,,market,1,
2020-01-14 09:30:00-05:00,buy,new,,GOOGL,stock,,0.0,,,market,1,
2020-01-14 09:30:00-05:00,buy,fill,6.0,ALB,stock,,0.0,,76.22000122070312,market,1,0.0
2020-01-14 09:30:00-05:00,buy,fill,16.0,GOOGL,stock,,0.0,,72.0,market,1,0.0
2020-01-15 09:30:00-05:00,buy,new,,ALB,stock,,0.0,,,market,1,
2020-01-15 09:30:00-05:00,buy,new,,MMM,stock,,0.0,,,market,1,
2020-01-15 09:30:00-05:00,buy,fill,6.0,ALB,stock,,0.0,,78.9000015258789,market,1,0.0
2020-01-15 09:30:00-05:00,buy,fill,3.0,MMM,stock,,0.0,,151.68896484375,market,1,0.0
2020-01-16 09:30:00-05:00,buy,new,,ALB,stock,,0.0,,,market,1,
2020-01-16 09:30:00-05:00,buy,fill,6.0,ALB,stock,,0.0,,80.36000061035156,market,1,0.0
2020-01-21 09:30:00-05:00,buy,new,,AMD,stock,,0.0,,,market,1,
2020-01-21 09:30:00-05:00,buy,fill,13.0,AMD,stock,,0.0,,50.959999084472656,market,1,0.0
2020-01-24 09:30:00-05:00,buy,new,,AMD,stock,,0.0,,,market,1,
2020-01-24 09:30:00-05:00,buy,fill,14.0,AMD,stock,,0.0,,52.279998779296875,market,1,0.0
2020-01-27 09:30:00-05:00,sell,new,,AMD,stock,,0.0,,,market,1,
2020-01-27 09:30:00-05:00,sell,new,,AME,stock,,0.0,,,market,1,
2020-01-27 09:30:00-05:00,sell,fill,41.0,AMD,stock,,0.0,,48.45000076293945,market,1,0.0
2020-01-27 09:30:00-05:00,sell,fill,16.0,AME,stock,,0.0,,97.63999938964844,market,1,0.0
2020-01-28 09:30:00-05:00,sell,new,,MMM,stock,,0.0,,,market,1,
2020-01-28 09:30:00-05:00,sell,fill,5.0,MMM,stock,,0.0,,143.72909545898438,market,1,0.0
2020-01-29 09:30:00-05:00,buy,new,,AON,stock,,0.0,,,market,1,
2020-01-29 09:30:00-05:00,buy,new,,AJG,stock,,0.0,,,market,1,
2020-01-29 09:30:00-05:00,buy,fill,1.0,AON,stock,,0.0,,217.0,market,1,0.0
2020-01-29 09:30:00-05:00,buy,fill,9.0,AJG,stock,,0.0,,98.76000213623047,market,1,0.0
2020-01-30 09:30:00-05:00,buy,new,,ALLE,stock,,0.0,,,market,1,
2020-01-30 09:30:00-05:00,buy,new,,AEE,stock,,0.0,,,market,1,
2020-01-30 09:30:00-05:00,buy,fill,3.0,ALLE,stock,,0.0,,130.0,market,1,0.0
2020-01-30 09:30:00-05:00,buy,fill,16.0,AEE,stock,,0.0,,80.97000122070312,market,1,0.0
2020-01-31 09:30:00-05:00,buy,new,,AON,stock,,0.0,,,market,1,
2020-01-31 09:30:00-05:00,buy,new,,AJG,stock,,0.0,,,market,1,
2020-01-31 09:30:00-05:00,buy,new,,AEE,stock,,0.0,,,market,1,
2020-01-31 09:30:00-05:00,buy,fill,1.0,AON,stock,,0.0,,223.75999450683594,market,1,0.0
2020-01-31 09:30:00-05:00,buy,fill,8.0,AJG,stock,,0.0,,103.0,market,1,0.0
2020-01-31 09:30:00-05:00,buy,fill,15.0,AEE,stock,,0.0,,81.80999755859375,market,1,0.0
2020-02-03 09:30:00-05:00,buy,new,,AJG,stock,,0.0,,,market,1,
2020-02-03 09:30:00-05:00,buy,fill,6.0,AJG,stock,,0.0,,103.23999786376953,market,1,0.0
2020-02-04 09:30:00-05:00,buy,new,,AON,stock,,0.0,,,market,1,
2020-02-04 09:30:00-05:00,buy,new,,AJG,stock,,0.0,,,market,1,
2020-02-04 09:30:00-05:00,buy,new,,ALLE,stock,,0.0,,,market,1,
2020-02-04 09:30:00-05:00,buy,new,,AEE,stock,,0.0,,,market,1,
2020-02-04 09:30:00-05:00,buy,fill,1.0,AON,stock,,0.0,,227.0,market,1,0.0
2020-02-04 09:30:00-05:00,buy,fill,6.0,AJG,stock,,0.0,,104.80000305175781,market,1,0.0
2020-02-04 09:30:00-05:00,buy,fill,3.0,ALLE,stock,,0.0,,133.8000030517578,market,1,0.0
2020-02-04 09:30:00-05:00,buy,fill,15.0,AEE,stock,,0.0,,82.6500015258789,market,1,0.0
2020-02-05 09:30:00-05:00,buy,new,,ALLE,stock,,0.0,,,market,1,
2020-02-05 09:30:00-05:00,buy,fill,3.0,ALLE,stock,,0.0,,136.57000732421875,market,1,0.0
