time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2015-01-02 09:30:00-05:00,buy,new,,LOW,stock,,0.0,,,market,1,
2015-01-02 09:30:00-05:00,buy,new,,HD,stock,,0.0,,,market,1,
2015-01-02 09:30:00-05:00,buy,new,,TJX,stock,,0.0,,,market,1,
2015-01-02 09:30:00-05:00,buy,fill,72.0,LOW,stock,,0.0,,69.0,market,1,0.0
2015-01-02 09:30:00-05:00,buy,fill,47.0,HD,stock,,0.0,,105.16000366210938,market,1,0.0
2015-01-02 09:30:00-05:00,buy,fill,145.0,TJX,stock,,0.0,,34.32500076293945,market,1,0.0
2015-01-07 09:30:00-05:00,sell,new,,LOW,stock,,0.0,,,market,1,
2015-01-07 09:30:00-05:00,sell,new,,HD,stock,,0.0,,,market,1,
2015-01-07 09:30:00-05:00,sell,fill,72.0,LOW,stock,,0.0,,66.86000061035156,market,1,0.0
2015-01-07 09:30:00-05:00,sell,fill,47.0,HD,stock,,0.0,,102.29000091552734,market,1,0.0
2015-01-09 09:30:00-05:00,buy,new,,HD,stock,,0.0,,,market,1,
2015-01-09 09:30:00-05:00,buy,new,,LOW,stock,,0.0,,,market,1,
2015-01-09 09:30:00-05:00,buy,new,,UNH,stock,,0.0,,,market,1,
2015-01-09 09:30:00-05:00,buy,new,,AVGO,stock,,0.0,,,market,1,
2015-01-09 09:30:00-05:00,buy,fill,46.0,HD,stock,,0.0,,106.87999725341797,market,1,0.0
2015-01-09 09:30:00-05:00,buy,fill,71.0,LOW,stock,,0.0,,69.55000305175781,market,1,0.0
2015-01-09 09:30:00-05:00,buy,fill,47.0,UNH,stock,,0.0,,104.41999816894531,market,1,0.0
2015-01-09 09:30:00-05:00,buy,fill,480.0,AVGO,stock,,0.0,,10.446999549865723,market,1,0.0
2015-01-12 09:30:00-05:00,buy,new,,PANW,stock,,0.0,,,market,1,
2015-01-12 09:30:00-05:00,buy,new,,VRTX,stock,,0.0,,,market,1,
