symbol,conviction_level,signal_count,position_size_pct,total_signals
DUK,1,132,20.0,201
DUK,2,60,25.0,201
DUK,3,7,30.0,201
DUK,4,2,35.0,201
PEP,1,154,20.0,183
PEP,2,28,25.0,183
PEP,3,1,30.0,183
WMT,1,129,20.0,198
WMT,2,49,25.0,198
WMT,3,16,30.0,198
WMT,4,4,35.0,198
JPM,1,161,20.0,308
JPM,2,118,25.0,308
JPM,3,25,30.0,308
JPM,4,4,35.0,308
MDT,1,104,20.0,160
MDT,2,50,25.0,160
MDT,3,6,30.0,160
HD,1,131,20.0,271
HD,2,118,25.0,271
HD,3,15,30.0,271
HD,4,7,35.0,271
ORCL,1,183,20.0,354
ORCL,2,138,25.0,354
ORCL,3,29,30.0,354
ORCL,4,4,35.0,354
MSFT,1,196,20.0,372
MSFT,2,152,25.0,372
MSFT,3,21,30.0,372
MSFT,4,3,35.0,372
ABT,1,124,20.0,213
ABT,2,78,25.0,213
ABT,3,7,30.0,213
ABT,4,4,35.0,213
ADBE,1,169,20.0,345
ADBE,2,142,25.0,345
ADBE,3,27,30.0,345
ADBE,4,7,35.0,345
PFE,1,103,20.0,209
PFE,2,71,25.0,209
PFE,3,31,30.0,209
PFE,4,4,35.0,209
NVDA,1,172,20.0,466
NVDA,2,229,25.0,466
NVDA,3,54,30.0,466
NVDA,4,11,35.0,466
GOOGL,1,184,20.0,347
GOOGL,2,135,25.0,347
GOOGL,3,22,30.0,347
GOOGL,4,6,35.0,347
PINS,1,130,20.0,345
PINS,2,179,25.0,345
PINS,3,24,30.0,345
PINS,4,12,35.0,345
CMCSA,1,150,20.0,257
CMCSA,2,91,25.0,257
CMCSA,3,16,30.0,257
SNAP,1,142,20.0,332
SNAP,2,144,25.0,332
SNAP,3,31,30.0,332
SNAP,4,15,35.0,332
CI,1,176,20.0,303
CI,2,104,25.0,303
CI,3,18,30.0,303
CI,4,5,35.0,303
CCI,1,104,20.0,193
CCI,2,80,25.0,193
CCI,3,7,30.0,193
CCI,4,2,35.0,193
SLB,1,139,20.0,352
SLB,2,172,25.0,352
SLB,3,36,30.0,352
SLB,4,5,35.0,352
LOW,1,172,20.0,340
LOW,2,144,25.0,340
LOW,3,19,30.0,340
LOW,4,5,35.0,340
INTU,1,146,20.0,398
INTU,2,211,25.0,398
INTU,3,32,30.0,398
INTU,4,9,35.0,398
DIS,1,71,20.0,175
DIS,2,86,25.0,175
DIS,3,14,30.0,175
DIS,4,4,35.0,175
NFLX,1,153,20.0,354
NFLX,2,155,25.0,354
NFLX,3,35,30.0,354
NFLX,4,11,35.0,354
IFF,1,93,20.0,178
IFF,2,72,25.0,178
IFF,3,7,30.0,178
IFF,4,6,35.0,178
EOG,1,140,20.0,380
EOG,2,203,25.0,380
EOG,3,35,30.0,380
EOG,4,2,35.0,380
BA,1,80,20.0,234
BA,2,122,25.0,234
BA,3,27,30.0,234
BA,4,5,35.0,234
AEP,1,147,20.0,200
AEP,2,50,25.0,200
AEP,3,1,30.0,200
AEP,4,2,35.0,200
UNH,1,200,20.0,302
UNH,2,90,25.0,302
UNH,3,11,30.0,302
UNH,4,1,35.0,302
MMM,1,112,20.0,169
MMM,2,47,25.0,169
MMM,3,7,30.0,169
MMM,4,3,35.0,169
AMGN,1,126,20.0,211
AMGN,2,70,25.0,211
AMGN,3,14,30.0,211
AMGN,4,1,35.0,211
JNJ,1,95,20.0,138
JNJ,2,27,25.0,138
JNJ,3,11,30.0,138
JNJ,4,5,35.0,138
CAT,1,174,20.0,372
CAT,2,151,25.0,372
CAT,3,43,30.0,372
CAT,4,4,35.0,372
ROKU,1,91,20.0,270
ROKU,2,137,25.0,270
ROKU,3,30,30.0,270
ROKU,4,12,35.0,270
BLK,1,179,20.0,329
BLK,2,130,25.0,329
BLK,3,18,30.0,329
BLK,4,2,35.0,329
NKE,1,104,20.0,273
NKE,2,146,25.0,273
NKE,3,18,30.0,273
NKE,4,5,35.0,273
GE,1,148,20.0,349
GE,2,162,25.0,349
GE,3,31,30.0,349
GE,4,8,35.0,349
VMC,1,164,20.0,335
VMC,2,146,25.0,335
VMC,3,22,30.0,335
VMC,4,3,35.0,335
BRK-B,1,167,20.0,283
BRK-B,2,97,25.0,283
BRK-B,3,18,30.0,283
BRK-B,4,1,35.0,283
META,1,142,20.0,346
META,2,163,25.0,346
META,3,31,30.0,346
META,4,10,35.0,346
APD,1,144,20.0,223
APD,2,65,25.0,223
APD,3,13,30.0,223
APD,4,1,35.0,223
PSX,1,141,20.0,347
PSX,2,178,25.0,347
PSX,3,25,30.0,347
PSX,4,3,35.0,347
AAPL,1,201,20.0,398
AAPL,2,162,25.0,398
AAPL,3,33,30.0,398
AAPL,4,2,35.0,398
MRK,1,147,20.0,244
MRK,2,79,25.0,244
MRK,3,16,30.0,244
MRK,4,2,35.0,244
COST,1,173,20.0,345
COST,2,138,25.0,345
COST,3,27,30.0,345
COST,4,7,35.0,345
LMT,1,119,20.0,201
LMT,2,63,25.0,201
LMT,3,16,30.0,201
LMT,4,3,35.0,201
CRM,1,152,20.0,319
CRM,2,136,25.0,319
CRM,3,19,30.0,319
CRM,4,12,35.0,319
CVX,1,131,20.0,286
CVX,2,124,25.0,286
CVX,3,30,30.0,286
CVX,4,1,35.0,286
TXN,1,125,20.0,235
TXN,2,92,25.0,235
TXN,3,17,30.0,235
TXN,4,1,35.0,235
DHR,1,145,20.0,293
DHR,2,128,25.0,293
DHR,3,19,30.0,293
DHR,4,1,35.0,293
EXC,1,160,20.0,270
EXC,2,89,25.0,270
EXC,3,20,30.0,270
EXC,4,1,35.0,270
TMO,1,173,20.0,294
TMO,2,95,25.0,294
TMO,3,23,30.0,294
TMO,4,3,35.0,294
PLD,1,175,20.0,308
PLD,2,112,25.0,308
PLD,3,19,30.0,308
PLD,4,2,35.0,308
MU,1,114,20.0,297
MU,2,137,25.0,297
MU,3,35,30.0,297
MU,4,11,35.0,297
NOW,1,174,20.0,366
NOW,2,163,25.0,366
NOW,3,26,30.0,366
NOW,4,3,35.0,366
UPS,1,139,20.0,261
UPS,2,103,25.0,261
UPS,3,17,30.0,261
UPS,4,2,35.0,261
MA,1,191,20.0,274
MA,2,65,25.0,274
MA,3,18,30.0,274
C,1,96,20.0,203
C,2,88,25.0,203
C,3,17,30.0,203
C,4,2,35.0,203
MS,1,186,20.0,355
MS,2,140,25.0,355
MS,3,25,30.0,355
MS,4,4,35.0,355
AMAT,1,195,20.0,407
AMAT,2,172,25.0,407
AMAT,3,37,30.0,407
AMAT,4,3,35.0,407
V,1,156,20.0,212
V,2,49,25.0,212
V,3,7,30.0,212
SPG,1,148,20.0,346
SPG,2,163,25.0,346
SPG,3,28,30.0,346
SPG,4,7,35.0,346
DOCU,1,143,20.0,268
DOCU,2,101,25.0,268
DOCU,3,17,30.0,268
DOCU,4,7,35.0,268
TSLA,1,148,20.0,330
TSLA,2,144,25.0,330
TSLA,3,33,30.0,330
TSLA,4,5,35.0,330
D,1,92,20.0,112
D,2,18,25.0,112
D,3,2,30.0,112
AMD,1,103,20.0,286
AMD,2,136,25.0,286
AMD,3,36,30.0,286
AMD,4,11,35.0,286
BAC,1,148,20.0,303
BAC,2,136,25.0,303
BAC,3,16,30.0,303
BAC,4,3,35.0,303
GS,1,149,20.0,308
GS,2,134,25.0,308
GS,3,22,30.0,308
GS,4,3,35.0,308
HON,1,126,20.0,231
HON,2,83,25.0,231
HON,3,18,30.0,231
HON,4,4,35.0,231
AVGO,1,184,20.0,427
AVGO,2,180,25.0,427
AVGO,3,48,30.0,427
AVGO,4,15,35.0,427
ABBV,1,169,20.0,330
ABBV,2,135,25.0,330
ABBV,3,24,30.0,330
ABBV,4,2,35.0,330
PYPL,1,147,20.0,258
PYPL,2,96,25.0,258
PYPL,3,12,30.0,258
PYPL,4,3,35.0,258
SBUX,1,115,20.0,272
SBUX,2,135,25.0,272
SBUX,3,19,30.0,272
SBUX,4,3,35.0,272
NEM,1,111,20.0,233
NEM,2,100,25.0,233
NEM,3,18,30.0,233
NEM,4,4,35.0,233
MCD,1,182,20.0,246
MCD,2,59,25.0,246
MCD,3,4,30.0,246
MCD,4,1,35.0,246
TGT,1,125,20.0,310
TGT,2,155,25.0,310
TGT,3,25,30.0,310
TGT,4,5,35.0,310
DOW,1,179,20.0,319
DOW,2,107,25.0,319
DOW,3,30,30.0,319
DOW,4,3,35.0,319
PG,1,137,20.0,215
PG,2,70,25.0,215
PG,3,6,30.0,215
PG,4,2,35.0,215
GILD,1,106,20.0,179
GILD,2,60,25.0,179
GILD,3,11,30.0,179
GILD,4,2,35.0,179
AMZN,1,177,20.0,308
AMZN,2,115,25.0,308
AMZN,3,14,30.0,308
AMZN,4,2,35.0,308
AXP,1,170,20.0,327
AXP,2,133,25.0,327
AXP,3,17,30.0,327
AXP,4,7,35.0,327
ZM,1,118,20.0,188
ZM,2,49,25.0,188
ZM,3,18,30.0,188
ZM,4,3,35.0,188
BMY,1,96,20.0,179
BMY,2,71,25.0,179
BMY,3,10,30.0,179
BMY,4,2,35.0,179
XOM,1,150,20.0,364
XOM,2,180,25.0,364
XOM,3,33,30.0,364
XOM,4,1,35.0,364
KO,1,139,20.0,181
KO,2,32,25.0,181
KO,3,9,30.0,181
KO,4,1,35.0,181
CRWD,1,171,20.0,425
CRWD,2,196,25.0,425
CRWD,3,42,30.0,425
CRWD,4,16,35.0,425
FCX,1,168,20.0,410
FCX,2,187,25.0,410
FCX,3,49,30.0,410
FCX,4,6,35.0,410
LIN,1,232,20.0,333
LIN,2,87,25.0,333
LIN,3,13,30.0,333
LIN,4,1,35.0,333
VLO,1,154,20.0,378
VLO,2,196,25.0,378
VLO,3,27,30.0,378
VLO,4,1,35.0,378
