Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency
AAPL,APPLE INC,Information Technology,Equity,"1,457,585,051.30",5.33,"1,457,585,051.30","11,658,815.00",125.02,United States,NASDAQ,USD
MSFT,MICROSOFT CORP,Information Technology,Equity,"1,290,337,482.06",4.72,"1,290,337,482.06","5,804,226.00",222.31,United States,NASDAQ,USD
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"573,083,391.12",2.09,"573,083,391.12","6,894,651.00",83.12,United States,NASDAQ,USD
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"437,893,537.20",1.6,"437,893,537.20","1,399,468.00",312.9,United States,New York Stock Exchange Inc.,USD
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"402,216,527.00",1.47,"402,216,527.00","4,666,085.00",86.2,United States,NASDAQ,USD
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"365,019,484.80",1.33,"365,019,484.80","2,041,496.00",178.8,United States,New York Stock Exchange Inc.,USD
GOOG,ALPHABET INC CLASS C,Communication,Equity,"359,060,680.98",1.31,"359,060,680.98","4,138,074.00",86.77,United States,NASDAQ,USD
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"355,499,787.24",1.3,"355,499,787.24","725,569.00",489.96,United States,New York Stock Exchange Inc.,USD
XOM,EXXON MOBIL CORP,Energy,Equity,"349,117,722.76",1.28,"349,117,722.76","3,196,756.00",109.21,United States,New York Stock Exchange Inc.,USD
JPM,JPMORGAN CHASE & CO,Financials,Equity,"306,241,421.15",1.12,"306,241,421.15","2,262,589.00",135.35,United States,New York Stock Exchange Inc.,USD
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"275,290,129.78",1.01,"275,290,129.78","1,831,117.00",150.34,United States,New York Stock Exchange Inc.,USD
V,VISA INC CLASS A,Information Technology,Equity,"269,597,603.28",0.99,"269,597,603.28","1,277,048.00",211.11,United States,New York Stock Exchange Inc.,USD
NVDA,NVIDIA CORP,Information Technology,Equity,"266,483,323.80",0.97,"266,483,323.80","1,868,092.00",142.65,United States,NASDAQ,USD
CVX,CHEVRON CORP,Energy,Equity,"262,909,943.40",0.96,"262,909,943.40","1,500,285.00",175.24,United States,New York Stock Exchange Inc.,USD
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"252,850,782.35",0.92,"252,850,782.35","801,505.00",315.47,United States,New York Stock Exchange Inc.,USD
LLY,ELI LILLY,Health Care,Equity,"234,593,342.28",0.86,"234,593,342.28","653,609.00",358.92,United States,New York Stock Exchange Inc.,USD
MA,MASTERCARD INC CLASS A,Information Technology,Equity,"232,193,527.44",0.85,"232,193,527.44","660,072.00",351.77,United States,New York Stock Exchange Inc.,USD
ABBV,ABBVIE INC,Health Care,Equity,"224,134,817.11",0.82,"224,134,817.11","1,370,939.00",163.49,United States,New York Stock Exchange Inc.,USD
MRK,MERCK & CO INC,Health Care,Equity,"222,997,249.32",0.81,"222,997,249.32","1,962,313.00",113.64,United States,New York Stock Exchange Inc.,USD
META,META PLATFORMS INC CLASS A,Communication,Equity,"221,375,489.72",0.81,"221,375,489.72","1,743,938.00",126.94,United States,NASDAQ,USD
TSLA,TESLA INC,Consumer Discretionary,Equity,"221,204,335.68",0.81,"221,204,335.68","2,004,752.00",110.34,United States,NASDAQ,USD
PFE,PFIZER INC,Health Care,Equity,"217,722,401.26",0.8,"217,722,401.26","4,384,261.00",49.66,United States,New York Stock Exchange Inc.,USD
PEP,PEPSICO INC,Consumer Staples,Equity,"189,916,904.10",0.69,"189,916,904.10","1,072,371.00",177.1,United States,NASDAQ,USD
KO,COCA-COLA,Consumer Staples,Equity,"188,389,120.80",0.69,"188,389,120.80","3,028,764.00",62.2,United States,New York Stock Exchange Inc.,USD
BAC,BANK OF AMERICA CORP,Financials,Equity,"185,616,528.51",0.68,"185,616,528.51","5,448,093.00",34.07,United States,New York Stock Exchange Inc.,USD
AVGO,BROADCOM INC,Information Technology,Equity,"170,042,587.44",0.62,"170,042,587.44","306,372.00",555.02,United States,NASDAQ,USD
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,"169,036,859.40",0.62,"169,036,859.40","303,510.00",556.94,United States,New York Stock Exchange Inc.,USD
WMT,WALMART INC,Consumer Staples,Equity,"157,970,791.43",0.58,"157,970,791.43","1,102,609.00",143.27,United States,New York Stock Exchange Inc.,USD
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"154,611,002.65",0.56,"154,611,002.65","343,435.00",450.19,United States,NASDAQ,USD
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,"150,285,579.44",0.55,"150,285,579.44","573,259.00",262.16,United States,New York Stock Exchange Inc.,USD
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,"149,446,689.28",0.55,"149,446,689.28","3,187,856.00",46.88,United States,NASDAQ,USD
ABT,ABBOTT LABORATORIES,Health Care,Equity,"147,378,958.00",0.54,"147,378,958.00","1,330,135.00",110.8,United States,New York Stock Exchange Inc.,USD
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,"135,954,760.20",0.5,"135,954,760.20","3,260,306.00",41.7,United States,New York Stock Exchange Inc.,USD
DIS,WALT DISNEY,Communication,Equity,"129,917,705.76",0.47,"129,917,705.76","1,413,378.00",91.92,United States,New York Stock Exchange Inc.,USD
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,"129,258,614.70",0.47,"129,258,614.70","491,515.00",262.98,United States,New York Stock Exchange Inc.,USD
DHR,DANAHER CORP,Health Care,Equity,"128,162,468.35",0.47,"128,162,468.35","502,145.00",255.23,United States,New York Stock Exchange Inc.,USD
NEE,NEXTERA ENERGY INC,Utilities,Equity,"127,289,531.88",0.47,"127,289,531.88","1,540,476.00",82.63,United States,New York Stock Exchange Inc.,USD
WFC,WELLS FARGO,Financials,Equity,"124,793,446.68",0.46,"124,793,446.68","2,941,854.00",42.42,United States,New York Stock Exchange Inc.,USD
CMCSA,COMCAST CORP CLASS A,Communication,Equity,"123,062,044.00",0.45,"123,062,044.00","3,327,800.00",36.98,United States,NASDAQ,USD
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,Equity,"121,186,547.38",0.44,"121,186,547.38","1,202,009.00",100.82,United States,New York Stock Exchange Inc.,USD
BMY,BRISTOL MYERS SQUIBB,Health Care,Equity,"118,813,350.32",0.43,"118,813,350.32","1,652,021.00",71.92,United States,New York Stock Exchange Inc.,USD
ADBE,ADOBE INC,Information Technology,Equity,"118,296,862.32",0.43,"118,296,862.32","360,178.00",328.44,United States,NASDAQ,USD
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,"117,508,871.13",0.43,"117,508,871.13","703,941.00",166.93,United States,NASDAQ,USD
LIN,LINDE PLC,Materials,Equity,"117,080,569.95",0.43,"117,080,569.95","383,255.00",305.49,United States,New York Stock Exchange Inc.,USD
RTX,RAYTHEON TECHNOLOGIES CORP,Industrials,Equity,"115,024,183.04",0.42,"115,024,183.04","1,140,208.00",100.88,United States,New York Stock Exchange Inc.,USD
NKE,NIKE INC CLASS B,Consumer Discretionary,Equity,"114,646,294.50",0.42,"114,646,294.50","950,475.00",120.62,United States,New York Stock Exchange Inc.,USD
COP,CONOCOPHILLIPS,Energy,Equity,"112,905,146.54",0.41,"112,905,146.54","966,902.00",116.77,United States,New York Stock Exchange Inc.,USD
AMGN,AMGEN INC,Health Care,Equity,"110,535,013.16",0.4,"110,535,013.16","414,206.00",266.86,United States,NASDAQ,USD
HON,HONEYWELL INTERNATIONAL INC,Industrials,Equity,"106,890,577.43",0.39,"106,890,577.43","522,769.00",204.47,United States,NASDAQ,USD
T,AT&T INC,Communication,Equity,"106,688,594.05",0.39,"106,688,594.05","5,553,805.00",19.21,United States,New York Stock Exchange Inc.,USD
NFLX,NETFLIX INC,Communication,Equity,"105,166,067.80",0.38,"105,166,067.80","339,574.00",309.7,United States,NASDAQ,USD
CRM,SALESFORCE INC,Information Technology,Equity,"101,782,036.54",0.37,"101,782,036.54","746,531.00",136.34,United States,New York Stock Exchange Inc.,USD
ORCL,ORACLE CORP,Information Technology,Equity,"99,965,439.59",0.37,"99,965,439.59","1,185,689.00",84.31,United States,New York Stock Exchange Inc.,USD
