time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2020-01-02 09:30:00-05:00,buy,new,,CAR.AX,stock,,0.0,,,market,1,
2020-01-02 09:30:00-05:00,buy,new,,CSL.AX,stock,,0.0,,,market,1,
2020-01-02 09:30:00-05:00,buy,fill,937.0,CAR.AX,stock,,0.0,,16.397768020629883,market,1,0.0
2020-01-02 09:30:00-05:00,buy,fill,54.0,CSL.AX,stock,,0.0,,280.0,market,1,0.0
2020-01-03 09:30:00-05:00,buy,new,,KMD.AX,stock,,0.0,,,market,1,
2020-01-03 09:30:00-05:00,buy,new,,NEU.AX,stock,,0.0,,,market,1,
2020-01-03 09:30:00-05:00,buy,fill,6472.0,KMD.AX,stock,,0.0,,2.295865058898926,market,1,0.0
2020-01-03 09:30:00-05:00,buy,fill,5747.0,NEU.AX,stock,,0.0,,2.430000066757202,market,1,0.0
2020-01-06 09:30:00-05:00,buy,new,,MP1.AX,stock,,0.0,,,market,1,
2020-01-06 09:30:00-05:00,buy,new,,RMD.AX,stock,,0.0,,,market,1,
2020-01-06 09:30:00-05:00,buy,fill,1479.0,MP1.AX,stock,,0.0,,10.449999809265137,market,1,0.0
2020-01-06 09:30:00-05:00,buy,fill,681.0,RMD.AX,stock,,0.0,,22.450000762939453,market,1,0.0
2020-01-07 09:30:00-05:00,buy,new,,REA.AX,stock,,0.0,,,market,1,
2020-01-07 09:30:00-05:00,buy,new,,MSB.AX,stock,,0.0,,,market,1,
2020-01-07 09:30:00-05:00,buy,fill,93.0,REA.AX,stock,,0.0,,106.68000030517578,market,1,0.0
2020-01-07 09:30:00-05:00,buy,fill,4601.0,MSB.AX,stock,,0.0,,2.2660739421844482,market,1,0.0
2020-01-30 09:30:00-05:00,sell,new,,KMD.AX,stock,,0.0,,,market,1,
2020-01-30 09:30:00-05:00,sell,fill,6472.0,KMD.AX,stock,,0.0,,2.064105987548828,market,1,0.0
2020-01-31 09:30:00-05:00,buy,new,,ALD.AX,stock,,0.0,,,market,1,
2020-01-31 09:30:00-05:00,buy,new,,GOR.AX,stock,,0.0,,,market,1,
2020-01-31 09:30:00-05:00,buy,fill,86.0,ALD.AX,stock,,0.0,,34.709999084472656,market,1,0.0
2020-01-31 09:30:00-05:00,buy,fill,2083.0,GOR.AX,stock,,0.0,,1.5049999952316284,market,1,0.0
2020-02-18 09:30:00-05:00,sell,new,,MSB.AX,stock,,0.0,,,market,1,
2020-02-18 09:30:00-05:00,sell,fill,4601.0,MSB.AX,stock,,0.0,,2.559999942779541,market,1,0.0
2020-02-26 09:30:00-05:00,sell,new,,NEU.AX,stock,,0.0,,,market,1,
2020-02-26 09:30:00-05:00,sell,fill,5747.0,NEU.AX,stock,,0.0,,2.299999952316284,market,1,0.0
2020-02-27 09:30:00-05:00,buy,new,,JBH.AX,stock,,0.0,,,market,1,
2020-02-27 09:30:00-05:00,buy,new,,NST.AX,stock,,0.0,,,market,1,
2020-02-27 09:30:00-05:00,buy,fill,401.0,JBH.AX,stock,,0.0,,37.130001068115234,market,1,0.0
2020-02-27 09:30:00-05:00,buy,fill,1006.0,NST.AX,stock,,0.0,,13.84000015258789,market,1,0.0
2020-03-02 09:30:00-05:00,sell,new,,NST.AX,stock,,0.0,,,market,1,
2020-03-02 09:30:00-05:00,sell,fill,1006.0,NST.AX,stock,,0.0,,12.960000038146973,market,1,0.0
2020-03-03 09:30:00-05:00,sell,new,,REA.AX,stock,,0.0,,,market,1,
2020-03-03 09:30:00-05:00,sell,fill,93.0,REA.AX,stock,,0.0,,96.52999877929688,market,1,0.0
2020-03-04 09:30:00-05:00,buy,new,,NST.AX,stock,,0.0,,,market,1,
2020-03-04 09:30:00-05:00,buy,new,,FPH.AX,stock,,0.0,,,market,1,
2020-03-04 09:30:00-05:00,buy,fill,1066.0,NST.AX,stock,,0.0,,13.850000381469727,market,1,0.0
2020-03-04 09:30:00-05:00,buy,fill,594.0,FPH.AX,stock,,0.0,,25.690000534057617,market,1,0.0
2020-03-09 10:30:00-04:00,sell,new,,CAR.AX,stock,,0.0,,,market,1,
2020-03-09 10:30:00-04:00,sell,new,,MP1.AX,stock,,0.0,,,market,1,
2020-03-09 10:30:00-04:00,sell,new,,ALD.AX,stock,,0.0,,,market,1,
2020-03-09 10:30:00-04:00,sell,new,,GOR.AX,stock,,0.0,,,market,1,
