Metric,VAS.AX,Strategy
Risk-Free Rate,4.21%,4.21%
Time in Market,70.0%,70.0%
,,
Total Return,46%,120%
CAGR% (Annual Return),7.93%,17.12%
,,
Sharpe,0.29,0.62
RoMaD,0.22,0.67
Corr to Benchmark,1.0,0.32
Prob. Sharpe Ratio,27.9%,49.14%
Smart Sharpe,0.28,0.6
Sortino,0.39,0.86
Smart Sortino,0.38,0.83
Sortino/√2,0.28,0.61
Smart Sortino/√2,0.27,0.59
Omega,1.11,1.11
,,
Max Drawdown,-35.75%,-25.61%
Longest DD Days,405,401
Volatility (ann.),16.84%,23.3%
R^2,0.1,0.1
Information Ratio,0.02,0.02
Calmar,0.22,0.67
Skew,-1.09,-0.47
Kurtosis,14.2,5.09
,,
Expected Daily%,0.02%,0.04%
Expected Monthly%,0.64%,1.32%
Expected Yearly%,7.91%,17.07%
Daily Value-at-Risk,-1.43%,-1.96%
Expected Shortfall (cVaR),-1.43%,-1.96%
,,
MTD,-2.99%,-2.88%
3M,-0.77%,-3.44%
6M,6.96%,-0.43%
YTD,11.44%,16.74%
1Y,11.44%,16.74%
3Y (ann.),9.81%,12.12%
5Y (ann.),7.15%,16.34%
10Y (ann.),7.93%,17.12%
All-time (ann.),7.93%,17.12%
,,
Best Day,5.98%,7.09%
Worst Day,-7.72%,-8.09%
Best Month,11.48%,18.16%
Worst Month,-18.39%,-13.25%
Best Year,17.45%,65.92%
Worst Year,-1.54%,-6.76%
,,
Avg. Drawdown,-2.87%,-3.86%
Avg. Drawdown Days,35,30
Recovery Factor,1.26,3.61
Ulcer Index,0.08,0.1
Serenity Index,0.3,0.65
,,
Avg. Up Month,3.6%,5.11%
Avg. Down Month,-4.09%,-5.41%
Win Days,1021.92,971.98
Loss Days,801.08,851.02
Win Days%,56.06%,53.32%
Win Month%,63.33%,65.0%
Win Quarter%,75.0%,65.0%
Win Year%,80.0%,80.0%
,,
Beta,-,0.44
Alpha,-,0.15
Correlation,-,31.99%
Treynor Ratio,-,261.47%
