time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2015-01-02 09:30:00-05:00,buy,new,,ALD.AX,stock,,0.0,,,market,1,
2015-01-02 09:30:00-05:00,buy,new,,RMD.AX,stock,,0.0,,,market,1,
2015-01-02 09:30:00-05:00,buy,fill,435.0,ALD.AX,stock,,0.0,,34.189998626708984,market,1,0.0
2015-01-02 09:30:00-05:00,buy,fill,2886.0,RMD.AX,stock,,0.0,,6.909999847412109,market,1,0.0
2015-01-05 09:30:00-05:00,buy,new,,ELD.AX,stock,,0.0,,,market,1,
2015-01-05 09:30:00-05:00,buy,new,,NEU.AX,stock,,0.0,,,market,1,
2015-01-05 09:30:00-05:00,buy,fill,8440.0,ELD.AX,stock,,0.0,,2.3678739070892334,market,1,0.0
2015-01-05 09:30:00-05:00,buy,fill,4722.0,NEU.AX,stock,,0.0,,3.0999999046325684,market,1,0.0
2015-01-06 09:30:00-05:00,buy,new,,TWE.AX,stock,,0.0,,,market,1,
2015-01-06 09:30:00-05:00,buy,new,,QAN.AX,stock,,0.0,,,market,1,
2015-01-06 09:30:00-05:00,buy,fill,3266.0,TWE.AX,stock,,0.0,,4.531978130340576,market,1,0.0
2015-01-06 09:30:00-05:00,buy,fill,5394.0,QAN.AX,stock,,0.0,,2.8115010261535645,market,1,0.0
2015-01-07 09:30:00-05:00,buy,new,,COH.AX,stock,,0.0,,,market,1,
2015-01-07 09:30:00-05:00,buy,new,,FPH.AX,stock,,0.0,,,market,1,
2015-01-07 09:30:00-05:00,buy,fill,7.0,COH.AX,stock,,0.0,,78.5999984741211,market,1,0.0
2015-01-07 09:30:00-05:00,buy,fill,100.0,FPH.AX,stock,,0.0,,5.869999885559082,market,1,0.0
2015-01-15 09:30:00-05:00,sell,new,,QAN.AX,stock,,0.0,,,market,1,
2015-01-15 09:30:00-05:00,sell,fill,5394.0,QAN.AX,stock,,0.0,,2.4600629806518555,market,1,0.0
2015-01-16 09:30:00-05:00,buy,new,,NST.AX,stock,,0.0,,,market,1,
2015-01-16 09:30:00-05:00,buy,new,,NUF.AX,stock,,0.0,,,market,1,
2015-01-16 09:30:00-05:00,buy,fill,6444.0,NST.AX,stock,,0.0,,1.9500000476837158,market,1,0.0
2015-01-16 09:30:00-05:00,buy,fill,2616.0,NUF.AX,stock,,0.0,,4.806786060333252,market,1,0.0
2015-02-02 09:30:00-05:00,sell,new,,ELD.AX,stock,,0.0,,,market,1,
2015-02-02 09:30:00-05:00,sell,fill,8440.0,ELD.AX,stock,,0.0,,2.9884860515594482,market,1,0.0
2015-03-02 09:30:00-05:00,sell,new,,NEU.AX,stock,,0.0,,,market,1,
2015-03-02 09:30:00-05:00,sell,fill,4722.0,NEU.AX,stock,,0.0,,2.0999999046325684,market,1,0.0
2015-03-03 09:30:00-05:00,buy,new,,XRO.AX,stock,,0.0,,,market,1,
2015-03-03 09:30:00-05:00,buy,new,,CSL.AX,stock,,0.0,,,market,1,
2015-03-03 09:30:00-05:00,buy,fill,956.0,XRO.AX,stock,,0.0,,23.200000762939453,market,1,0.0
2015-03-03 09:30:00-05:00,buy,fill,247.0,CSL.AX,stock,,0.0,,92.0999984741211,market,1,0.0
2015-03-25 10:30:00-04:00,sell,new,,NUF.AX,stock,,0.0,,,market,1,
2015-03-25 10:30:00-04:00,sell,fill,2616.0,NUF.AX,stock,,0.0,,6.348404884338379,market,1,0.0
2015-04-23 10:30:00-04:00,sell,new,,RMD.AX,stock,,0.0,,,market,1,
2015-04-23 10:30:00-04:00,sell,fill,2886.0,RMD.AX,stock,,0.0,,8.8100004196167,market,1,0.0
2015-04-24 10:30:00-04:00,buy,new,,CDA.AX,stock,,0.0,,,market,1,
