Metric,VAS.AX,Strategy
Risk-Free Rate,4.21%,4.21%
Time in Market,69.0%,70.0%
,,
Total Return,125%,285%
CAGR% (Annual Return),8.47%,14.45%
,,
Sharpe,0.34,0.53
RoMaD,0.24,0.36
Corr to Benchmark,1.0,0.27
Prob. Sharpe Ratio,28.17%,38.38%
Smart Sharpe,0.33,0.51
Sortino,0.46,0.74
Smart Sortino,0.45,0.71
Sortino/√2,0.33,0.52
Smart Sortino/√2,0.32,0.5
Omega,1.09,1.09
,,
Max Drawdown,-35.75%,-40.52%
Longest DD Days,626,1735
Volatility (ann.),14.95%,22.64%
R^2,0.07,0.07
Information Ratio,0.02,0.02
Calmar,0.24,0.36
Skew,-0.94,-0.6
Kurtosis,12.65,9.24
,,
Expected Daily%,0.02%,0.04%
Expected Monthly%,0.68%,1.13%
Expected Yearly%,8.46%,14.43%
Daily Value-at-Risk,-1.26%,-1.91%
Expected Shortfall (cVaR),-1.26%,-1.91%
,,
MTD,-2.99%,-6.85%
3M,-0.77%,4.58%
6M,6.96%,4.65%
YTD,11.44%,13.7%
1Y,11.44%,13.7%
3Y (ann.),9.81%,7.81%
5Y (ann.),7.15%,1.01%
10Y (ann.),8.47%,14.45%
All-time (ann.),8.47%,14.45%
,,
Best Day,5.98%,8.2%
Worst Day,-7.72%,-12.21%
Best Month,11.48%,16.33%
Worst Month,-18.39%,-27.79%
Best Year,23.83%,60.48%
Worst Year,-3.06%,-14.09%
,,
Avg. Drawdown,-2.3%,-3.75%
Avg. Drawdown Days,33,50
Recovery Factor,2.58,3.96
Ulcer Index,0.07,0.12
Serenity Index,0.76,0.66
,,
Avg. Up Month,3.25%,5.34%
Avg. Down Month,-3.66%,-5.59%
Win Days,2021.74,1931.23
Loss Days,1627.26,1717.77
Win Days%,55.41%,52.92%
Win Month%,63.33%,61.67%
Win Quarter%,70.0%,70.0%
Win Year%,80.0%,60.0%
,,
Beta,-,0.41
Alpha,-,0.12
Correlation,-,27.33%
Treynor Ratio,-,678.14%
