time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2015-01-02 09:30:00-05:00,buy,new,,TNE.AX,stock,,0.0,,,market,1,
2015-01-02 09:30:00-05:00,buy,new,,COH.AX,stock,,0.0,,,market,1,
2015-01-02 09:30:00-05:00,buy,fill,6329.0,TNE.AX,stock,,0.0,,3.2100000381469727,market,1,0.0
2015-01-02 09:30:00-05:00,buy,fill,191.0,COH.AX,stock,,0.0,,76.93000030517578,market,1,0.0
2015-01-05 09:30:00-05:00,buy,new,,FPH.AX,stock,,0.0,,,market,1,
2015-01-05 09:30:00-05:00,buy,new,,NEU.AX,stock,,0.0,,,market,1,
2015-01-05 09:30:00-05:00,buy,fill,3406.0,FPH.AX,stock,,0.0,,5.840000152587891,market,1,0.0
2015-01-05 09:30:00-05:00,buy,fill,4663.0,NEU.AX,stock,,0.0,,3.0999999046325684,market,1,0.0
2015-01-06 09:30:00-05:00,buy,new,,QAN.AX,stock,,0.0,,,market,1,
2015-01-06 09:30:00-05:00,buy,new,,RMD.AX,stock,,0.0,,,market,1,
2015-01-06 09:30:00-05:00,buy,fill,5332.0,QAN.AX,stock,,0.0,,2.8115010261535645,market,1,0.0
2015-01-06 09:30:00-05:00,buy,fill,2123.0,RMD.AX,stock,,0.0,,6.96999979019165,market,1,0.0
2015-01-07 09:30:00-05:00,buy,new,,ALD.AX,stock,,0.0,,,market,1,
2015-01-07 09:30:00-05:00,buy,new,,ELD.AX,stock,,0.0,,,market,1,
2015-01-07 09:30:00-05:00,buy,fill,24.0,ALD.AX,stock,,0.0,,34.68000030517578,market,1,0.0
2015-01-07 09:30:00-05:00,buy,fill,359.0,ELD.AX,stock,,0.0,,2.396517038345337,market,1,0.0
2015-01-15 09:30:00-05:00,sell,new,,QAN.AX,stock,,0.0,,,market,1,
2015-01-15 09:30:00-05:00,sell,fill,5332.0,QAN.AX,stock,,0.0,,2.4600629806518555,market,1,0.0
2015-01-16 09:30:00-05:00,buy,new,,PME.AX,stock,,0.0,,,market,1,
2015-01-16 09:30:00-05:00,buy,new,,NUF.AX,stock,,0.0,,,market,1,
