Metric,SPY,Strategy
Risk-Free Rate,4.21%,4.21%
Time in Market,69.0%,69.0%
,,
Total Return,96%,181%
CAGR% (Annual Return),14.38%,22.96%
,,
Sharpe,0.55,0.92
RoMaD,0.43,0.87
Corr to Benchmark,1.0,0.23
Prob. Sharpe Ratio,44.86%,76.18%
Smart Sharpe,0.54,0.9
Sortino,0.76,1.31
Smart Sortino,0.75,1.29
Sortino/√2,0.54,0.93
Smart Sortino/√2,0.53,0.91
Omega,1.17,1.17
,,
Max Drawdown,-33.68%,-26.26%
Longest DD Days,708,578
Volatility (ann.),20.97%,20.16%
R^2,0.05,0.05
Information Ratio,0.01,0.01
Calmar,0.43,0.87
Skew,-0.6,-0.19
Kurtosis,17.98,5.56
,,
Expected Daily%,0.04%,0.06%
Expected Monthly%,1.12%,1.74%
Expected Yearly%,14.36%,22.93%
Daily Value-at-Risk,-1.76%,-1.67%
Expected Shortfall (cVaR),-1.76%,-1.67%
,,
MTD,-2.06%,-2.54%
3M,3.27%,6.35%
6M,8.78%,5.4%
YTD,25.35%,45.72%
1Y,25.35%,45.72%
3Y (ann.),11.99%,26.19%
5Y (ann.),14.42%,22.21%
10Y (ann.),14.38%,22.96%
All-time (ann.),14.38%,22.96%
,,
Best Day,9.06%,6.74%
Worst Day,-10.94%,-6.77%
Best Month,12.7%,14.33%
Worst Month,-12.44%,-9.27%
Best Year,28.77%,45.72%
Worst Year,-18.16%,-9.54%
,,
Avg. Drawdown,-1.87%,-3.13%
Avg. Drawdown Days,17,26
Recovery Factor,2.32,4.32
Ulcer Index,0.09,0.1
Serenity Index,0.5,0.65
,,
Avg. Up Month,4.82%,5.95%
Avg. Down Month,-5.17%,-4.59%
Win Days,1001.28,1035.34
Loss Days,823.72,789.66
Win Days%,54.86%,56.73%
Win Month%,63.33%,63.33%
Win Quarter%,75.0%,65.0%
Win Year%,80.0%,80.0%
,,
Beta,-,0.22
Alpha,-,0.19
Correlation,-,23.09%
Treynor Ratio,-,795.22%
