time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2020-01-03 09:30:00-05:00,buy,new,,MMM,stock,,0.0,,,market,1,
2020-01-03 09:30:00-05:00,buy,new,,AMD,stock,,0.0,,,market,1,
2020-01-03 09:30:00-05:00,buy,fill,66.0,MMM,stock,,0.0,,148.01004028320312,market,1,0.0
2020-01-03 09:30:00-05:00,buy,fill,203.0,AMD,stock,,0.0,,48.029998779296875,market,1,0.0
2020-01-07 09:30:00-05:00,buy,new,,ALGN,stock,,0.0,,,market,1,
2020-01-07 09:30:00-05:00,buy,new,,GOOGL,stock,,0.0,,,market,1,
2020-01-07 09:30:00-05:00,buy,fill,28.0,ALGN,stock,,0.0,,285.9200134277344,market,1,0.0
2020-01-07 09:30:00-05:00,buy,fill,115.0,GOOGL,stock,,0.0,,70.02300262451172,market,1,0.0
2020-01-09 09:30:00-05:00,buy,new,,A,stock,,0.0,,,market,1,
2020-01-09 09:30:00-05:00,buy,fill,74.0,A,stock,,0.0,,86.45999908447266,market,1,0.0
2020-01-10 09:30:00-05:00,buy,new,,APD,stock,,0.0,,,market,1,
2020-01-10 09:30:00-05:00,buy,fill,24.0,APD,stock,,0.0,,234.5,market,1,0.0
2020-01-13 09:30:00-05:00,buy,new,,GOOG,stock,,0.0,,,market,1,
2020-01-13 09:30:00-05:00,buy,fill,73.0,GOOG,stock,,0.0,,71.80650329589844,market,1,0.0
2020-01-14 09:30:00-05:00,buy,new,,ALB,stock,,0.0,,,market,1,
2020-01-14 09:30:00-05:00,buy,new,,ALLE,stock,,0.0,,,market,1,
2020-01-14 09:30:00-05:00,buy,fill,62.0,ALB,stock,,0.0,,76.22000122070312,market,1,0.0
2020-01-14 09:30:00-05:00,buy,fill,37.0,ALLE,stock,,0.0,,124.45999908447266,market,1,0.0
2020-01-16 09:30:00-05:00,sell,new,,ALGN,stock,,0.0,,,market,1,
2020-01-16 09:30:00-05:00,sell,fill,28.0,ALGN,stock,,0.0,,271.8399963378906,market,1,0.0
2020-01-17 09:30:00-05:00,buy,new,,ADBE,stock,,0.0,,,market,1,
