time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2014-01-09 09:30:00-05:00,buy,new,,NHF.AX,stock,,0.0,,,market,1,
2014-01-09 09:30:00-05:00,buy,fill,7352.0,NHF.AX,stock,,0.0,,2.7200000286102295,market,1,0.0
2014-01-10 09:30:00-05:00,buy,new,,SCG.AX,stock,,0.0,,,market,1,
2014-01-10 09:30:00-05:00,buy,fill,6557.0,SCG.AX,stock,,0.0,,3.009999990463257,market,1,0.0
2014-01-16 09:30:00-05:00,buy,new,,CPU.AX,stock,,0.0,,,market,1,
2014-01-16 09:30:00-05:00,buy,fill,1758.0,CPU.AX,stock,,0.0,,11.288256645202637,market,1,0.0
2014-01-17 09:30:00-05:00,buy,new,,WDS.AX,stock,,0.0,,,market,1,
2014-01-17 09:30:00-05:00,buy,fill,516.0,WDS.AX,stock,,0.0,,38.19197082519531,market,1,0.0
2014-01-21 09:30:00-05:00,sell,new,,NHF.AX,stock,,0.0,,,market,1,
2014-01-21 09:30:00-05:00,buy,new,,SHV.AX,stock,,0.0,,,market,1,
2014-01-21 09:30:00-05:00,sell,fill,7352.0,NHF.AX,stock,,0.0,,2.5,market,1,0.0
2014-01-21 09:30:00-05:00,buy,fill,3409.0,SHV.AX,stock,,0.0,,5.791968822479248,market,1,0.0
2014-01-22 09:30:00-05:00,buy,new,,ORG.AX,stock,,0.0,,,market,1,
2014-01-22 09:30:00-05:00,buy,fill,1552.0,ORG.AX,stock,,0.0,,12.308623313903809,market,1,0.0
2014-02-12 09:30:00-05:00,buy,new,,BPT.AX,stock,,0.0,,,market,1,
2014-02-12 09:30:00-05:00,buy,fill,166.0,BPT.AX,stock,,0.0,,1.4759360551834106,market,1,0.0
2014-05-12 10:30:00-04:00,sell,new,,SHV.AX,stock,,0.0,,,market,1,
2014-05-12 10:30:00-04:00,sell,fill,3409.0,SHV.AX,stock,,0.0,,5.35483980178833,market,1,0.0
2014-05-15 10:30:00-04:00,buy,new,,FPH.AX,stock,,0.0,,,market,1,
2014-05-15 10:30:00-04:00,buy,fill,4610.0,FPH.AX,stock,,0.0,,3.9600000381469727,market,1,0.0
2014-10-02 10:30:00-04:00,sell,new,,BPT.AX,stock,,0.0,,,market,1,
