time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2014-01-10 09:30:00-05:00,buy,new,,PPT.AX,stock,,0.0,,,market,1,
2014-01-10 09:30:00-05:00,buy,fill,407.0,PPT.AX,stock,,0.0,,48.599998474121094,market,1,0.0
2014-01-16 09:30:00-05:00,buy,new,,VCX.AX,stock,,0.0,,,market,1,
2014-01-16 09:30:00-05:00,buy,fill,8261.0,VCX.AX,stock,,0.0,,2.430000066757202,market,1,0.0
2014-01-17 09:30:00-05:00,buy,new,,ORI.AX,stock,,0.0,,,market,1,
2014-01-17 09:30:00-05:00,buy,fill,803.0,ORI.AX,stock,,0.0,,24.149999618530273,market,1,0.0
2014-01-29 09:30:00-05:00,sell,new,,ORI.AX,stock,,0.0,,,market,1,
2014-01-29 09:30:00-05:00,sell,fill,803.0,ORI.AX,stock,,0.0,,22.969999313354492,market,1,0.0
2014-02-03 09:30:00-05:00,buy,new,,ORG.AX,stock,,0.0,,,market,1,
2014-02-03 09:30:00-05:00,buy,fill,1552.0,ORG.AX,stock,,0.0,,12.282379150390625,market,1,0.0
2014-02-04 09:30:00-05:00,sell,new,,PPT.AX,stock,,0.0,,,market,1,
2014-02-04 09:30:00-05:00,sell,fill,407.0,PPT.AX,stock,,0.0,,45.65999984741211,market,1,0.0
2014-02-12 09:30:00-05:00,buy,new,,APA.AX,stock,,0.0,,,market,1,
2014-02-12 09:30:00-05:00,buy,fill,3350.0,APA.AX,stock,,0.0,,5.8349409103393555,market,1,0.0
2014-02-14 09:30:00-05:00,buy,new,,QAN.AX,stock,,0.0,,,market,1,
2014-02-14 09:30:00-05:00,buy,fill,15250.0,QAN.AX,stock,,0.0,,1.2673050165176392,market,1,0.0
2014-02-19 09:30:00-05:00,buy,new,,SCG.AX,stock,,0.0,,,market,1,
2014-02-19 09:30:00-05:00,buy,fill,6360.0,SCG.AX,stock,,0.0,,3.1500000953674316,market,1,0.0
2014-03-04 09:30:00-05:00,sell,new,,QAN.AX,stock,,0.0,,,market,1,
2014-03-04 09:30:00-05:00,sell,fill,15250.0,QAN.AX,stock,,0.0,,1.1980830430984497,market,1,0.0
2014-03-05 09:30:00-05:00,buy,new,,CSL.AX,stock,,0.0,,,market,1,
2014-03-05 09:30:00-05:00,buy,fill,250.0,CSL.AX,stock,,0.0,,71.75,market,1,0.0
2014-03-07 09:30:00-05:00,buy,new,,HVN.AX,stock,,0.0,,,market,1,
2014-03-07 09:30:00-05:00,buy,fill,46.0,HVN.AX,stock,,0.0,,2.9913480281829834,market,1,0.0
2014-06-04 10:30:00-04:00,sell,new,,HVN.AX,stock,,0.0,,,market,1,
2014-06-04 10:30:00-04:00,sell,fill,46.0,HVN.AX,stock,,0.0,,2.8777520656585693,market,1,0.0
2014-06-10 10:30:00-04:00,buy,new,,WDS.AX,stock,,0.0,,,market,1,
2014-06-10 10:30:00-04:00,buy,fill,3.0,WDS.AX,stock,,0.0,,41.359832763671875,market,1,0.0
2014-06-24 10:30:00-04:00,sell,new,,CSL.AX,stock,,0.0,,,market,1,
2014-06-24 10:30:00-04:00,sell,fill,250.0,CSL.AX,stock,,0.0,,66.80000305175781,market,1,0.0
2014-07-01 10:30:00-04:00,buy,new,,RIO.AX,stock,,0.0,,,market,1,
2014-07-01 10:30:00-04:00,buy,fill,276.0,RIO.AX,stock,,0.0,,61.02000045776367,market,1,0.0
2014-10-09 10:30:00-04:00,sell,new,,WDS.AX,stock,,0.0,,,market,1,
