time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2014-01-09 09:30:00-05:00,buy,new,,NHF.AX,stock,,0.0,,,market,1,
2014-01-09 09:30:00-05:00,buy,fill,7352.0,NHF.AX,stock,,0.0,,2.7200000286102295,market,1,0.0
2014-01-16 09:30:00-05:00,buy,new,,CPU.AX,stock,,0.0,,,market,1,
2014-01-16 09:30:00-05:00,buy,fill,1753.0,CPU.AX,stock,,0.0,,11.288256645202637,market,1,0.0
2014-01-17 09:30:00-05:00,buy,new,,CSL.AX,stock,,0.0,,,market,1,
2014-01-17 09:30:00-05:00,buy,fill,284.0,CSL.AX,stock,,0.0,,69.4000015258789,market,1,0.0
2014-01-21 09:30:00-05:00,sell,new,,NHF.AX,stock,,0.0,,,market,1,
2014-01-21 09:30:00-05:00,sell,fill,7352.0,NHF.AX,stock,,0.0,,2.5,market,1,0.0
2014-01-23 09:30:00-05:00,buy,new,,MQG.AX,stock,,0.0,,,market,1,
2014-01-23 09:30:00-05:00,buy,fill,353.0,MQG.AX,stock,,0.0,,55.54999923706055,market,1,0.0
2014-01-24 09:30:00-05:00,buy,new,,TCL.AX,stock,,0.0,,,market,1,
2014-01-24 09:30:00-05:00,buy,fill,2987.0,TCL.AX,stock,,0.0,,6.54678201675415,market,1,0.0
2014-02-04 09:30:00-05:00,buy,new,,REA.AX,stock,,0.0,,,market,1,
2014-02-04 09:30:00-05:00,buy,fill,439.0,REA.AX,stock,,0.0,,45.0,market,1,0.0
2014-08-06 10:30:00-04:00,sell,new,,CSL.AX,stock,,0.0,,,market,1,
2014-08-06 10:30:00-04:00,sell,fill,284.0,CSL.AX,stock,,0.0,,64.01000213623047,market,1,0.0
2014-08-08 10:30:00-04:00,buy,new,,RIO.AX,stock,,0.0,,,market,1,
2014-08-08 10:30:00-04:00,buy,fill,273.0,RIO.AX,stock,,0.0,,66.33000183105469,market,1,0.0
2014-08-18 10:30:00-04:00,buy,new,,FPH.AX,stock,,0.0,,,market,1,
2014-08-18 10:30:00-04:00,buy,fill,8.0,FPH.AX,stock,,0.0,,4.409999847412109,market,1,0.0
2014-09-08 10:30:00-04:00,sell,new,,RIO.AX,stock,,0.0,,,market,1,
