Metric,VAS.AX,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,69.0%
,,
Total Return,115%,165%
CAGR% (Annual Return),7.98%,10.25%
,,
Sharpe,0.25,0.4
RoMaD,0.22,0.34
Corr to Benchmark,1.0,0.35
Prob. Sharpe Ratio,9.84%,21.62%
Smart Sharpe,0.25,0.39
Sortino,0.33,0.56
Smart Sortino,0.33,0.56
Sortino/√2,0.24,0.39
Smart Sortino/√2,0.24,0.39
Omega,1.07,1.07
,,
Max Drawdown,-35.75%,-29.9%
Longest DD Days,626,728
Volatility (ann.),15.04%,14.37%
R^2,0.12,0.12
Information Ratio,0.01,0.01
Calmar,0.22,0.34
Skew,-0.89,-0.28
Kurtosis,12.39,3.75
,,
Expected Daily%,0.02%,0.03%
Expected Monthly%,0.64%,0.81%
Expected Yearly%,7.21%,9.26%
Daily Value-at-Risk,-1.27%,-1.21%
Expected Shortfall (cVaR),-1.27%,-1.21%
,,
MTD,0.0%,-0.24%
3M,8.55%,11.19%
6M,7.45%,8.86%
YTD,0.0%,-0.24%
1Y,12.06%,10.17%
3Y (ann.),8.36%,0.5%
5Y (ann.),9.66%,3.08%
10Y (ann.),7.98%,10.25%
All-time (ann.),7.98%,10.25%
,,
Best Day,5.98%,4.8%
Worst Day,-7.72%,-4.58%
Best Month,11.48%,19.94%
Worst Month,-18.39%,-11.8%
Best Year,23.83%,31.19%
Worst Year,-3.06%,-23.49%
,,
Avg. Drawdown,-2.24%,-2.74%
Avg. Drawdown Days,33,43
Recovery Factor,2.46,3.6
Ulcer Index,0.07,0.12
Serenity Index,0.71,0.27
,,
Avg. Up Month,3.45%,4.01%
Avg. Down Month,-3.49%,-3.73%
Win Days,2002.61,1904.23
Loss Days,1643.39,1741.77
Win Days%,54.93%,52.23%
Win Month%,61.67%,60.0%
Win Quarter%,75.0%,60.98%
Win Year%,80.0%,72.73%
,,
Beta,-,0.33
Alpha,-,0.08
Correlation,-,34.97%
Treynor Ratio,-,477.42%
