time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2014-01-08 09:30:00-05:00,buy,new,,AEF.AX,stock,,0.0,,,market,1,
2014-01-08 09:30:00-05:00,buy,fill,66555.0,AEF.AX,stock,,0.0,,0.3005000054836273,market,1,0.0
2014-01-09 09:30:00-05:00,buy,new,,NHF.AX,stock,,0.0,,,market,1,
2014-01-09 09:30:00-05:00,buy,fill,7374.0,NHF.AX,stock,,0.0,,2.7200000286102295,market,1,0.0
2014-01-10 09:30:00-05:00,buy,new,,PPT.AX,stock,,0.0,,,market,1,
2014-01-10 09:30:00-05:00,buy,fill,408.0,PPT.AX,stock,,0.0,,48.599998474121094,market,1,0.0
2014-01-21 09:30:00-05:00,sell,new,,NHF.AX,stock,,0.0,,,market,1,
2014-01-21 09:30:00-05:00,sell,fill,7374.0,NHF.AX,stock,,0.0,,2.5,market,1,0.0
2014-01-22 09:30:00-05:00,buy,new,,SCG.AX,stock,,0.0,,,market,1,
2014-01-22 09:30:00-05:00,buy,fill,6402.0,SCG.AX,stock,,0.0,,3.0799999237060547,market,1,0.0
2014-01-24 09:30:00-05:00,buy,new,,TCL.AX,stock,,0.0,,,market,1,
2014-01-24 09:30:00-05:00,buy,fill,2963.0,TCL.AX,stock,,0.0,,6.54678201675415,market,1,0.0
2014-01-27 09:30:00-05:00,buy,new,,MQG.AX,stock,,0.0,,,market,1,
2014-01-27 09:30:00-05:00,buy,fill,346.0,MQG.AX,stock,,0.0,,54.09000015258789,market,1,0.0
2014-02-04 09:30:00-05:00,sell,new,,PPT.AX,stock,,0.0,,,market,1,
2014-02-04 09:30:00-05:00,sell,fill,408.0,PPT.AX,stock,,0.0,,45.65999984741211,market,1,0.0
2014-02-07 09:30:00-05:00,buy,new,,SHV.AX,stock,,0.0,,,market,1,
2014-02-07 09:30:00-05:00,buy,fill,3048.0,SHV.AX,stock,,0.0,,5.970795154571533,market,1,0.0
2014-02-18 09:30:00-05:00,buy,new,,FMG.AX,stock,,0.0,,,market,1,
2014-02-18 09:30:00-05:00,buy,fill,191.0,FMG.AX,stock,,0.0,,6.010000228881836,market,1,0.0
2014-02-26 09:30:00-05:00,sell,new,,FMG.AX,stock,,0.0,,,market,1,
2014-02-26 09:30:00-05:00,sell,fill,191.0,FMG.AX,stock,,0.0,,5.539999961853027,market,1,0.0
2014-02-28 09:30:00-05:00,buy,new,,WBC.AX,stock,,0.0,,,market,1,
2014-02-28 09:30:00-05:00,buy,fill,31.0,WBC.AX,stock,,0.0,,33.541648864746094,market,1,0.0
2014-05-12 10:30:00-04:00,sell,new,,SHV.AX,stock,,0.0,,,market,1,
2014-05-12 10:30:00-04:00,sell,fill,3048.0,SHV.AX,stock,,0.0,,5.35483980178833,market,1,0.0
2014-05-13 10:30:00-04:00,buy,new,,APA.AX,stock,,0.0,,,market,1,
2014-05-13 10:30:00-04:00,buy,fill,2465.0,APA.AX,stock,,0.0,,6.607212066650391,market,1,0.0
2014-08-26 10:30:00-04:00,sell,new,,AEF.AX,stock,,0.0,,,market,1,
2014-08-26 10:30:00-04:00,sell,fill,66555.0,AEF.AX,stock,,0.0,,0.4580000042915344,market,1,0.0
2014-08-27 10:30:00-04:00,buy,new,,NXT.AX,stock,,0.0,,,market,1,
2014-08-27 10:30:00-04:00,buy,fill,13003.0,NXT.AX,stock,,0.0,,1.7873990535736084,market,1,0.0
2014-09-09 10:30:00-04:00,sell,new,,NXT.AX,stock,,0.0,,,market,1,
2014-09-09 10:30:00-04:00,sell,fill,13003.0,NXT.AX,stock,,0.0,,1.6279820203781128,market,1,0.0
2014-10-17 10:30:00-04:00,buy,new,,CSL.AX,stock,,0.0,,,market,1,
2014-10-17 10:30:00-04:00,buy,fill,297.0,CSL.AX,stock,,0.0,,74.0,market,1,0.0
2015-01-28 09:30:00-05:00,sell,new,,MQG.AX,stock,,0.0,,,market,1,
2015-01-28 09:30:00-05:00,sell,fill,346.0,MQG.AX,stock,,0.0,,61.119998931884766,market,1,0.0
2015-01-29 09:30:00-05:00,buy,new,,ASX.AX,stock,,0.0,,,market,1,
2015-01-29 09:30:00-05:00,buy,fill,664.0,ASX.AX,stock,,0.0,,38.189998626708984,market,1,0.0
2015-03-02 09:30:00-05:00,sell,new,,WBC.AX,stock,,0.0,,,market,1,
2015-03-02 09:30:00-05:00,sell,fill,31.0,WBC.AX,stock,,0.0,,38.25952911376953,market,1,0.0
2015-03-03 09:30:00-05:00,buy,new,,TPG.AX,stock,,0.0,,,market,1,
2015-03-03 09:30:00-05:00,buy,fill,463.0,TPG.AX,stock,,0.0,,7.449304103851318,market,1,0.0
2015-05-04 10:30:00-04:00,sell,new,,TCL.AX,stock,,0.0,,,market,1,
2015-05-04 10:30:00-04:00,sell,fill,2963.0,TCL.AX,stock,,0.0,,9.915865898132324,market,1,0.0
2015-05-06 10:30:00-04:00,buy,new,,STO.AX,stock,,0.0,,,market,1,
2015-05-06 10:30:00-04:00,buy,fill,3383.0,STO.AX,stock,,0.0,,7.907802104949951,market,1,0.0
2015-05-18 10:30:00-04:00,sell,new,,STO.AX,stock,,0.0,,,market,1,
2015-05-18 10:30:00-04:00,sell,fill,3383.0,STO.AX,stock,,0.0,,7.1849517822265625,market,1,0.0
2015-05-27 10:30:00-04:00,buy,new,,CPU.AX,stock,,0.0,,,market,1,
2015-05-27 10:30:00-04:00,buy,fill,2146.0,CPU.AX,stock,,0.0,,12.506200790405273,market,1,0.0
2015-06-15 10:30:00-04:00,sell,new,,APA.AX,stock,,0.0,,,market,1,
2015-06-15 10:30:00-04:00,sell,fill,2465.0,APA.AX,stock,,0.0,,8.467982292175293,market,1,0.0
