scan_date,data_date,symbol,ib_action,conviction_level,position_size_pct,current_price,stop_loss_price,profit_target_price,daily_change_pct,week_gain_pct,month_gain_pct,atr,atr_percentage,volume,avg_volume_20d,conviction_reason,fundamental_score,fundamental_grade,market_cap,pe_ratio,forward_pe,peg_ratio,roe,roa,profit_margin,gross_margin,operating_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,revenue_quarterly_growth,current_ratio,quick_ratio,debt_to_equity,total_debt_to_equity,free_cashflow,operating_cashflow,book_value,price_to_book,enterprise_to_revenue,enterprise_to_ebitda,target_mean_price,target_high_price,target_low_price,recommendation_mean,number_of_analyst_opinions,trend_strength,breakout_power,volume_surge,momentum_points,total_conviction_score
2025-08-26,253,NAN.AX,BUY,5,40,4.730000019073486,4.398900017738343,7.0950000286102295,15.085154876355888,16.502465165929348,22.857146395823147,0.1453570978982108,3.0730887380986394,2261408,764655.15,"MAX conviction: 95, trend: 90, vol: 3.2x, daily: 15.1%",65,B,1436184064,94.6,78.833336,0,9.087,3.2449998,9.004,77.424,7.8759999999999994,17.5,56.49999999999999,58.199999999999996,0,5.421,4.767,0.04853,0,24698750,34934000,0.618,7.6537223,6.096,65.524,4.53889,6.0,3.75,2.7,9,90,25,3.223550911083964,25,95
2025-08-26,249,WYNN,BUY,5,40,118.36000061035156,110.07480056762697,177.54000091552734,3.5429998585047917,9.440590790957625,9.387715903970095,2.9633821856551656,2.5037024082238752,3503700,2063780.0,"MAX conviction: 90, trend: 100, vol: 1.8x, daily: 3.5%",23,D,12306717696,34.91445,23.57769,0,0.0,5.3039998,5.5069998,68.32000000000001,15.806999999999999,0.3,-29.799999999999997,-40.8,0,1.034,0.954,0.0,0,550405504,1297185024,-4.289,-27.596176,3.099,12.674,123.05882,135.0,101.0,1.61111,17,100,25,1.7876066010372476,25,90
2025-08-26,253,ZIP.AX,BUY,5,40,4.119999885559082,3.8315998935699467,6.179999828338623,2.2332424581936294,28.34890456691155,31.21018305458989,0.19357138020651682,4.698334601537234,38571602,19187872.25,"MAX conviction: 90, trend: 100, vol: 2.2x, daily: 2.2%",40,C,5318219264,68.666664,41.199997,0,14.421000000000001,8.0,7.456,100.0,43.541999999999994,27.1,0.0,0.0,0,3.205,2.944,3.4163900000000003,0,11278250,-49809000,0.549,7.5045533,6.983,16.685,4.44222,5.0,4.08,1.22222,9,100,15,2.1649216221333742,25,90
2025-08-26,253,FSA.AX,BUY,5,40,1.1100000143051147,1.0323000133037568,1.6650000214576721,1.8348605792718242,7.246369299982369,22.078322890556578,0.03398864869878649,3.062040383852081,51319,24185.0,"MAX conviction: 90, trend: 100, vol: 2.4x, daily: 1.8%",60,B,138801056,12.333333,8.538462,0,11.134,1.208,20.197001,89.045995,18.868999,1.6,58.699999999999996,59.0,0,89.955,87.416,8.65816,0,0,21744688,0.698,1.5902579,19.467,0.0,0.0,0.0,0.0,0.0,0,100,15,2.3737860821821495,25,90
2025-08-26,253,SRG.AX,BUY,5,40,1.9600000381469727,1.8228000354766847,2.940000057220459,2.08333760189523,12.643679735887027,19.51219849044694,0.07017857687813896,3.580539566952628,12809863,2307349.15,"MAX conviction: 90, trend: 100, vol: 7.4x, daily: 2.1%",68,B,1021808768,24.500002,21.777777,0,13.614999999999998,6.2319998000000005,3.585,56.538999999999994,6.1680003999999995,25.900000000000002,26.5,48.9,0,1.07,0.988,0.32608,0,122621872,94850000,0.65,3.0153847,0.888,10.907,2.01,2.1,1.95,1.0,5,100,15,7.406305903825574,25,90
2025-08-26,253,HLS.AX,BUY,5,40,0.9350000023841858,0.8695500022172928,1.4025000035762787,11.976051067262228,15.432098720008657,16.874998556450027,0.058214281286512105,6.22612632492724,40819480,8552996.4,"MAX conviction: 87, trend: 75, vol: 6.1x, daily: 12.0%",0,F,678934336,0.0,18.699999,0,-69.139,0.005,-11.248,28.388999999999996,0.014999999,0.0,0.0,0.0,0,0.565,0.462,1.55094,0,113537504,285700000,0.81,1.154321,1.087,46.824,0.91886,1.8,0.7,3.41667,12,75,25,6.1159791557523375,25,87
2025-08-26,253,CRN.AX,BUY,5,40,0.41499999165534973,0.3859499922394753,0.6224999874830246,13.698624880055865,31.746030094101553,65.99999666213989,0.0310714276773589,7.487091157139873,24594534,16274174.45,"MAX conviction: 85, trend: 90, vol: 1.5x, daily: 13.7%",10,F,7656749568,0.0,4.1499996,0,-27.831,-7.362,-14.499,7.452,-10.155,-30.599999999999998,0.0,0.0,0,1.599,0.999,0.7052200000000001,0,-129905872,103032000,0.538,0.7713755,0.212,-3.462,0.22571255,0.3019772,0.12941879,3.77778,8,90,25,1.5402465259651266,25,85
2025-08-26,253,COL.AX,BUY,4,35,22.5,20.925,33.75,8.538352613840573,6.888364919209056,11.275968170481887,0.45500005994524273,2.0222224886455233,9321554,3206286.75,"HIGH conviction: 80, trend: 90, vol: 3.3x, daily: 8.5%",30,D,30179473408,27.108435,27.108435,0,30.407,6.2649995,2.4820002,26.455997999999997,4.397,3.6999999999999997,-2.3,-2.1999999999999997,0,0.668,0.175,2.84671,0,300375008,2139000064,2.817,7.987221,0.849,13.851,21.73267,25.1,15.5,2.26667,15,90,15,3.2865568317007066,20,80
2025-08-26,253,A2M.AX,BUY,4,35,9.170000076293945,8.52810007095337,13.755000114440918,2.4581035946063645,5.889148243279019,15.782828130791128,0.23714286940438406,2.5860727091752143,4529402,2695377.8,"HIGH conviction: 80, trend: 100, vol: 1.7x, daily: 2.5%",85,A,6639254528,36.68,33.962963,0,14.295,8.434,10.682,46.078,14.321,16.7,35.0,35.0,0,3.224,2.649,0.07041,0,151041504,201476992,2.004,4.5758486,2.875,20.352,8.17891,9.312627,7.2317333,2.27273,11,100,15,1.6697376877313577,25,80
2025-08-26,253,CUV.AX,BUY,4,35,13.699999809265137,12.740999822616578,20.549999713897705,3.630858793804004,11.654436007756242,15.222871435481933,0.47928571701049805,3.498435939293686,165282,92494.25,"HIGH conviction: 80, trend: 100, vol: 1.8x, daily: 3.6%",93,A,686693312,17.792208,17.792208,0,19.586000000000002,14.218001,42.599,90.828,45.645002,8.7,32.1,28.7,0,17.366,16.37,0.00329,0,12731025,23826384,4.34,3.1566818,5.102,8.977,24.41571,40.0,15.0,0.0,7,100,15,1.8375007712673854,25,80
