symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,conviction_level,holding_days,exit_month,exit_year
CBA.AX,2020-11-18,2021-08-11,63.56498499298095,88.94648350067826,3146,79850.19430521571,39.93000000000002,PROFIT_TARGET,2,266,2021-08,2021
CBA.AX,2024-10-21,2026-03-20,138.5032990722656,175.55217938995364,1805,66873.2289734269,26.74945691969213,END_OF_PERIOD,3,515,2026-03,2026
ANZ.AX,2017-01-10,2017-05-29,19.04308612060547,17.510879411341556,15753,-24136.852291034433,-8.045999999999987,STOP_LOSS,4,139,2017-05,2017
ANZ.AX,2020-06-24,2020-08-03,13.620689960002899,12.524769245821066,18354,-20114.52878809337,-8.045999999999998,STOP_LOSS,3,40,2020-08,2020
ANZ.AX,2020-11-10,2021-03-04,15.075027185440062,21.094485540586277,16583,99820.67790338967,39.92999999999998,PROFIT_TARGET,3,114,2021-03,2021
ANZ.AX,2021-03-05,2022-03-07,21.533621003150937,19.801025857237416,9287,-16090.61112009887,-8.045999999999987,STOP_LOSS,2,367,2022-03,2022
ANZ.AX,2025-10-09,2026-03-20,34.07355444717407,36.581698474884035,7337,18402.25273130803,7.360969726825739,END_OF_PERIOD,3,162,2026-03,2026
WBC.AX,2020-11-19,2024-01-23,15.225597962379455,21.305179228757574,16419,99820.64481266233,39.93000000000002,PROFIT_TARGET,3,1160,2024-01,2024
WBC.AX,2024-03-08,2025-08-14,25.072142080307007,35.083448412973596,7976,79850.1793093487,39.93,PROFIT_TARGET,2,524,2025-08,2025
WBC.AX,2025-09-15,2026-03-20,38.00733263969421,40.67965076255798,6577,17575.836294075023,7.031059370035475,END_OF_PERIOD,3,186,2026-03,2026
NAB.AX,2017-01-10,2018-06-06,19.707749722480774,18.12206417980997,15222,-24137.305330534953,-8.045999999999998,STOP_LOSS,4,512,2018-06,2018
NAB.AX,2020-06-22,2020-08-03,14.514555935382843,13.34671476482194,13779,-16091.683489158686,-8.045999999999998,STOP_LOSS,2,42,2020-08,2020
NAB.AX,2020-11-10,2021-09-06,16.440033917427062,23.004539460655685,15206,99819.87129033444,39.92999999999998,PROFIT_TARGET,3,300,2021-09,2021
NAB.AX,2025-09-12,2026-03-20,42.70603854560852,45.54721469497681,5853,16629.404002252588,6.65286747759104,END_OF_PERIOD,3,189,2026-03,2026
MQG.AX,2017-01-10,2018-05-16,61.86285185050964,86.56468859441814,4849,119779.20637121232,39.93,PROFIT_TARGET,4,491,2018-05,2018
MQG.AX,2018-06-28,2018-10-11,96.81386278152465,89.02421938212318,2065,-16085.613619764035,-8.045999999999998,STOP_LOSS,2,105,2018-10,2018
MQG.AX,2020-06-19,2021-08-27,100.84426595306395,141.1113813481224,2479,99822.17906434987,39.93,PROFIT_TARGET,3,434,2021-08,2021
MQG.AX,2021-11-05,2022-01-27,173.25314822387693,159.3131999177838,1442,-20101.405457386292,-8.045999999999998,STOP_LOSS,3,83,2022-01,2022
MQG.AX,2024-10-17,2025-03-07,225.89501081085203,207.7194982410109,1106,-20102.116902244277,-8.045999999999987,STOP_LOSS,3,141,2025-03,2025
MQG.AX,2025-07-09,2025-11-07,220.22387221527097,202.5046594568303,1362,-24133.567776996202,-8.045999999999987,STOP_LOSS,4,121,2025-11,2025
ASX.AX,2019-05-02,2020-03-16,59.38190237045288,54.60403450572624,4210,-20114.823710499142,-8.045999999999998,STOP_LOSS,3,319,2020-03,2020
ASX.AX,2020-06-17,2020-12-10,69.65291971206665,64.04864579203377,4307,-24137.607773581618,-8.045999999999998,STOP_LOSS,4,176,2020-12,2020
ASX.AX,2021-08-26,2021-10-01,74.33877892684936,68.35748077439507,2690,-16089.692030102031,-8.045999999999987,STOP_LOSS,2,36,2021-10,2021
ASX.AX,2021-11-08,2022-01-21,79.33817984390258,72.95462989366219,3151,-20114.56589320748,-8.045999999999987,STOP_LOSS,3,74,2022-01,2022
AMP.AX,2020-06-10,2020-06-15,1.5420655798316,1.4179909832783497,129696,-16091.97887457036,-8.045999999999987,STOP_LOSS,2,5,2020-06,2020
AMP.AX,2020-06-17,2020-07-31,1.4543056191802024,1.3372921890609635,171903,-20114.95967778753,-8.045999999999987,STOP_LOSS,3,44,2020-07,2020
AMP.AX,2020-09-24,2021-04-07,1.2119947593212128,1.1144776609862281,206271,-20114.949390655624,-8.045999999999987,STOP_LOSS,3,195,2021-04,2021
AMP.AX,2022-04-29,2024-10-17,1.0375746164917945,1.451878160856968,192757,79859.90830119775,39.93,PROFIT_TARGET,2,902,2024-10,2024
AMP.AX,2024-10-18,2025-02-26,1.4458473077416418,1.3295144333607496,172908,-20114.884643451314,-8.045999999999987,STOP_LOSS,3,131,2025-02,2025
AMP.AX,2025-07-09,2026-02-12,1.417471329510212,1.3034215863378205,176370,-20114.953203314682,-8.045999999999987,STOP_LOSS,3,218,2026-02,2026
QBE.AX,2017-02-13,2017-08-17,9.013211400032043,8.288008410785466,33284,-24137.656294083085,-8.045999999999987,STOP_LOSS,4,185,2017-08,2017
QBE.AX,2019-04-03,2019-06-03,9.978633941173554,9.17575305426673,30064,-24137.810983966745,-8.045999999999998,STOP_LOSS,4,61,2019-06,2019
QBE.AX,2020-07-24,2020-09-09,8.59118366575241,7.899937028005972,23279,-16091.530480099338,-8.045999999999998,STOP_LOSS,2,47,2020-09,2020
QBE.AX,2020-11-10,2020-12-18,8.175324518680572,7.517537907907534,24463,-16091.433859340832,-8.045999999999987,STOP_LOSS,2,38,2020-12,2020
QBE.AX,2021-05-06,2023-02-20,8.938134970664978,12.507132264451503,22376,79859.8834457673,39.93,PROFIT_TARGET,2,655,2023-02,2023
QBE.AX,2023-04-03,2024-11-19,12.728337268352508,17.810762339605663,19641,99823.91082448322,39.93,PROFIT_TARGET,3,596,2024-11,2024
QBE.AX,2025-02-24,2026-03-20,19.429263533592223,20.569709923744202,12867,14674.123702085513,5.869735557295841,END_OF_PERIOD,3,389,2026-03,2026
IAG.AX,2018-03-14,2018-10-02,6.041388363361358,5.555298255645304,33104,-16091.526925832273,-8.045999999999998,STOP_LOSS,2,202,2018-10,2018
IAG.AX,2023-08-10,2024-11-18,5.4161106898784634,7.578763688346934,55390,119789.34958516856,39.93,PROFIT_TARGET,4,466,2024-11,2024
IAG.AX,2024-11-19,2025-04-07,7.80680462694168,7.178669126657954,25618,-16091.575246268512,-8.045999999999987,STOP_LOSS,2,139,2025-04,2025
SUN.AX,2021-02-09,2023-05-30,9.759394814014435,13.6563211632504,30739,119787.61904916434,39.93000000000002,PROFIT_TARGET,4,840,2023-05,2023
BOQ.AX,2020-06-25,2020-09-30,4.487915310144424,4.126817644290204,44564,-16091.95638112745,-8.045999999999987,STOP_LOSS,2,97,2020-09,2020
BOQ.AX,2020-10-22,2021-02-23,4.775602855682373,6.682501075956345,41879,79858.99056685365,39.93,PROFIT_TARGET,2,124,2021-02,2021
BOQ.AX,2021-03-08,2021-11-24,6.8457759518623345,6.294964818775491,29215,-16091.947253132126,-8.045999999999998,STOP_LOSS,2,261,2021-11,2021
BEN.AX,2017-01-10,2017-03-16,7.551084961652755,6.943524665638175,39729,-24137.76300036326,-8.045999999999998,STOP_LOSS,4,65,2017-03,2017
