symbol,entry_date,entry_price,shares,position_value,conviction_level,stop_price,stop_percent,target_1_price,target_2_price,target_3_price,position_risk_pct,dollar_risk,exit_date,exit_price,exit_reason,pnl_dollars,pnl_percent,r_multiple,holding_days
AMD,2020-01-01,45.882930610656736,7084,325034.68,4,43.06,6.16,48.71,51.53,54.36,1.0,20000.0,2020-01-02,49.075448474884034,PROFIT_TARGET_1,21943.11183908244,6.744262073337532,1.0972850471261353,1
AAPL,2020-01-01,70.82083889007568,5648,400000.0,4,68.76,2.91,72.88,74.95,77.01,0.582,11639.62,2020-01-08,73.04855571746826,PROFIT_TARGET_1,11765.66444956843,2.9384776347573505,1.010829083726558,7
ADBE,2020-01-01,329.974902557373,1212,400000.0,4,320.17,2.97,339.78,349.58,359.38,0.594,11883.54,2020-01-09,340.27978720092773,PROFIT_TARGET_1,11606.682985436928,2.898771974384847,0.9767023235631496,8
ADSK,2020-01-03,185.0424719467163,2161,400000.0,4,178.78,3.39,191.31,197.57,203.84,0.677,13533.2,2020-01-09,191.84403244018554,PROFIT_TARGET_1,13760.379149137763,3.436658129155286,1.0167866610097946,6
ACIW,2020-01-01,37.90894438934326,10551,400000.0,4,36.68,3.23,39.13,40.36,41.59,0.648,12966.59,2020-01-23,36.68,STOP_LOSS,-13776.330680000014,-3.440642027972032,-1.0624480520637034,22
ABBV,2020-01-01,68.51918204498291,5837,400000.0,4,66.19,3.4,70.85,73.18,75.5,0.68,13595.44,2020-01-24,66.19,STOP_LOSS,-14435.32103000005,-3.6052250324675446,-1.0617770153423378,23
ACIW,2020-03-31,24.16207461833954,11819,285571.56,4,22.47,7.0,29.9,35.63,41.37,1.0,20000.0,2020-04-01,22.47,STOP_LOSS,-20549.77449000004,-7.188826942275093,-1.0275591167100364,1
ADBE,2020-03-31,318.3991102294922,897,285604.0,4,296.11,7.0,380.77,443.14,505.51,1.0,20000.0,2020-04-03,296.11,STOP_LOSS,-20544.544670000032,-7.186181093174704,-1.027569831660287,3
AAPL,2020-03-31,61.47377954292297,4647,285668.65,4,57.17,7.0,70.55,79.62,88.69,1.0,20000.0,2020-04-30,70.95419021606446,PROFIT_TARGET_1,43440.0791621175,15.19126529272213,2.172040498781609,30
ABBV,2020-03-31,59.75838751602173,4786,286003.64,4,55.58,7.0,70.46,81.16,91.87,1.0,20000.0,2020-05-12,71.9370283241272,PROFIT_TARGET_1,57656.68330171349,20.139283618032273,2.8831566963752215,42
