date,equity,cash,positions_value,open_positions
2020-01-01,1999400.0,1399400.0,600000.0,3
2020-01-02,1998800.0,798800.0,1200000.0,6
2020-01-03,1991299.03767,391299.03767,1600000.0,8
2020-01-06,1990872.7707375078,790872.7707375078,1200000.0,6
2020-01-07,1990272.7707375078,190272.77073750785,1800000.0,9
2020-01-08,1981907.9737075078,381907.97370750783,1600000.0,8
2020-01-09,1988814.5550294463,388814.55502944614,1600000.0,8
2020-01-10,1982409.685909446,382409.6859094461,1600000.0,8
2020-01-13,1978404.156091733,578404.1560917329,1400000.0,7
2020-01-14,1985753.995932065,385753.99593206495,1600000.0,8
2020-01-15,1987472.4084903288,587472.4084903288,1400000.0,7
2020-01-16,1994767.310537449,794767.3105374492,1200000.0,6
2020-01-17,1994167.310537449,194167.3105374492,1800000.0,9
2020-01-20,1994167.310537449,194167.3105374492,1800000.0,9
2020-01-21,1989377.115327449,389377.11532744917,1600000.0,8
2020-01-22,1983041.8964874493,383041.8964874492,1600000.0,8
2020-01-23,1982841.8964874493,182841.89648744918,1800000.0,9
2020-01-24,1978411.1115074493,378411.1115074492,1600000.0,8
2020-01-27,1955271.533447449,755271.5334474492,1200000.0,6
2020-01-28,1959340.314543553,359340.3145435529,1600000.0,8
2020-01-29,1966171.769230879,366171.76923087897,1600000.0,8
2020-01-30,1955397.5538308788,355397.5538308789,1600000.0,8
2020-01-31,1942121.4126608789,542121.4126608789,1400000.0,7
2020-02-03,1941721.4126608789,141721.41266087885,1800000.0,9
2020-02-04,1951121.489568315,751121.489568315,1200000.0,6
2020-02-05,1971835.5206276188,571835.5206276188,1400000.0,7
2020-02-06,1981683.6793830944,381683.6793830944,1600000.0,8
2020-02-07,1994090.397447913,394090.39744791284,1600000.0,8
2020-02-10,2005643.470062448,405643.470062448,1600000.0,8
2020-02-11,2005243.470062448,5243.470062448003,2000000.0,10
2020-02-12,2018214.1743745946,418214.1743745945,1600000.0,8
2020-02-13,2030609.685282017,230609.68528201705,1800000.0,9
2020-02-14,2030409.685282017,30409.685282017046,2000000.0,10
2020-02-17,2030409.685282017,30409.685282017046,2000000.0,10
2020-02-18,2030409.685282017,30409.685282017046,2000000.0,10
2020-02-19,2050004.9326288425,650004.9326288427,1400000.0,7
2020-02-20,2049404.9326288425,49404.93262884265,2000000.0,10
2020-02-21,2049404.9326288425,49404.93262884265,2000000.0,10
2020-02-24,1992330.4830088427,1192330.4830088427,800000.0,4
2020-02-25,1961561.7813088426,1161561.7813088426,800000.0,4
2020-02-26,1960961.7813088426,560961.7813088426,1400000.0,7
2020-02-27,1927269.8363788426,1127269.8363788426,800000.0,4
2020-02-28,1927269.8363788426,1127269.8363788426,800000.0,4
2020-03-02,1926669.8363788426,526669.8363788426,1400000.0,7
2020-03-03,1926669.8363788426,526669.8363788426,1400000.0,7
2020-03-04,1926269.8363788426,126269.83637884259,1800000.0,9
2020-03-05,1912081.8084088424,312081.80840884254,1600000.0,8
2020-03-06,1897873.4907488425,497873.49074884254,1400000.0,7
2020-03-09,1844063.0042988425,1244063.0042988425,600000.0,3
2020-03-10,1844063.0042988425,1244063.0042988425,600000.0,3
2020-03-11,1816515.9385388426,1616515.9385388426,200000.0,1
2020-03-12,1803003.0147888428,1803003.0147888428,0.0,0
2020-03-13,1803003.0147888428,1803003.0147888428,0.0,0
2020-03-16,1803003.0147888428,1803003.0147888428,0.0,0
2020-03-17,1803003.0147888428,1803003.0147888428,0.0,0
2020-03-18,1803003.0147888428,1803003.0147888428,0.0,0
2020-03-19,1803003.0147888428,1803003.0147888428,0.0,0
2020-03-20,1803003.0147888428,1803003.0147888428,0.0,0
2020-03-23,1803003.0147888428,1803003.0147888428,0.0,0
2020-03-24,1803003.0147888428,1803003.0147888428,0.0,0
2020-03-25,1803003.0147888428,1803003.0147888428,0.0,0
2020-03-26,1803003.0147888428,1803003.0147888428,0.0,0
2020-03-27,1803003.0147888428,1803003.0147888428,0.0,0
2020-03-30,1803003.0147888428,1803003.0147888428,0.0,0
2020-03-31,1803003.0147888428,1803003.0147888428,0.0,0
2020-04-01,1803003.0147888428,1803003.0147888428,0.0,0
2020-04-02,1803003.0147888428,1803003.0147888428,0.0,0
2020-04-03,1803003.0147888428,1803003.0147888428,0.0,0
2020-04-06,1803003.0147888428,1803003.0147888428,0.0,0
2020-04-07,1803003.0147888428,1803003.0147888428,0.0,0
2020-04-08,1803003.0147888428,1803003.0147888428,0.0,0
2020-04-09,1803003.0147888428,1803003.0147888428,0.0,0
2020-04-10,1803003.0147888428,1803003.0147888428,0.0,0
2020-04-13,1803003.0147888428,1803003.0147888428,0.0,0
2020-04-14,1803003.0147888428,1803003.0147888428,0.0,0
2020-04-15,1803003.0147888428,1803003.0147888428,0.0,0
2020-04-16,1803003.0147888428,1803003.0147888428,0.0,0
2020-04-17,1802403.0147888428,1202403.0147888428,600000.0,3
2020-04-20,1802403.0147888428,1202403.0147888428,600000.0,3
2020-04-21,1802403.0147888428,1202403.0147888428,600000.0,3
2020-04-22,1802403.0147888428,1202403.0147888428,600000.0,3
2020-04-23,1802403.0147888428,1202403.0147888428,600000.0,3
2020-04-24,1802203.0147888428,1002203.0147888428,800000.0,4
2020-04-27,1802003.0147888428,802003.0147888428,1000000.0,5
2020-04-28,1791370.9273188426,991370.9273188427,800000.0,4
2020-04-29,1790970.9273188426,590970.9273188427,1200000.0,6
2020-04-30,1790970.9273188426,590970.9273188427,1200000.0,6
2020-05-01,1762512.5138188428,962512.5138188428,800000.0,4
2020-05-04,1762512.5138188428,962512.5138188428,800000.0,4
2020-05-05,1808897.8187053485,1408897.8187053485,400000.0,2
2020-05-06,1808297.8187053485,808297.8187053485,1000000.0,5
2020-05-07,1854612.779828505,854612.7798285049,1000000.0,5
2020-05-08,1854212.779828505,454212.7798285049,1400000.0,7
2020-05-11,1897183.864552476,497183.86455247586,1400000.0,7
2020-05-12,1896983.864552476,296983.86455247586,1600000.0,8
2020-05-13,1882746.5359324757,482746.5359324758,1400000.0,7
2020-05-14,1882546.5359324757,282546.5359324758,1600000.0,8
2020-05-15,1882546.5359324757,282546.5359324758,1600000.0,8
2020-05-18,1981822.1986106113,981822.1986106114,1000000.0,5
2020-05-19,1981422.1986106113,581422.1986106114,1400000.0,7
2020-05-20,1967249.9848106115,767249.9848106115,1200000.0,6
2020-05-21,1953018.8100306115,953018.8100306115,1000000.0,5
2020-05-22,1953018.8100306115,953018.8100306115,1000000.0,5
2020-05-25,1953018.8100306115,953018.8100306115,1000000.0,5
2020-05-26,1928252.0308006115,928252.0308006115,1000000.0,5
2020-05-27,1913790.5363706115,913790.5363706115,1000000.0,5
2020-05-28,1913390.5363706115,513390.5363706115,1400000.0,7
2020-05-29,1962947.6254466663,962947.6254466663,1000000.0,5
2020-06-01,1992355.6028499869,792355.6028499869,1200000.0,6
2020-06-02,1992155.6028499869,592155.6028499869,1400000.0,7
2020-06-03,1977969.3730799868,777969.3730799869,1200000.0,6
2020-06-04,1977969.3730799868,777969.3730799869,1200000.0,6
2020-06-05,1977969.3730799868,777969.3730799869,1200000.0,6
2020-06-08,1993024.9379718462,993024.9379718461,1000000.0,5
2020-06-09,1992824.9379718462,792824.9379718461,1200000.0,6
2020-06-10,2010287.3304567838,1010287.3304567838,1000000.0,5
2020-06-11,1995862.3894367837,995862.3894367837,1000000.0,5
2020-06-12,1995862.3894367837,995862.3894367837,1000000.0,5
2020-06-15,1995862.3894367837,995862.3894367837,1000000.0,5
2020-06-16,1995862.3894367837,995862.3894367837,1000000.0,5
2020-06-17,2018184.6674936267,1218184.6674936267,800000.0,4
