date,equity,cash,positions_value,open_positions
2020-01-01,1999502.0,1501502.0,498000.0,3
2020-01-02,1999004.0,1003004.0,996000.0,6
2020-01-03,1998506.0,504506.0,1494000.0,9
2020-01-06,1993521.78454,167521.78454,1826000.0,11
2020-01-07,1993355.78454,1355.7845399999933,1992000.0,12
2020-01-08,1998337.3978199821,172337.3978199821,1826000.0,11
2020-01-09,1998171.3978199821,6171.397819982114,1992000.0,12
2020-01-10,1998171.3978199821,6171.397819982114,1992000.0,12
2020-01-13,2017082.8878351157,523082.8878351158,1494000.0,9
2020-01-14,2021067.864704616,195067.86470461581,1826000.0,11
2020-01-15,2020901.864704616,28901.864704615815,1992000.0,12
2020-01-16,2020901.864704616,28901.864704615815,1992000.0,12
2020-01-17,2020901.864704616,28901.864704615815,1992000.0,12
2020-01-20,2020901.864704616,28901.864704615815,1992000.0,12
2020-01-21,2016813.890604616,190813.89060461582,1826000.0,11
2020-01-22,2011416.1913746158,185416.19137461582,1826000.0,11
2020-01-23,2011250.1913746158,19250.191374615824,1992000.0,12
2020-01-24,1995741.4571346159,501741.45713461586,1494000.0,9
2020-01-27,1985219.3912346158,657219.3912346158,1328000.0,8
2020-01-28,1984721.3912346158,158721.39123461582,1826000.0,11
2020-01-29,1980413.3740266666,486413.37402666657,1494000.0,9
2020-01-30,1980081.3740266666,154081.37402666657,1826000.0,11
2020-01-31,1969703.5299266665,475703.5299266666,1494000.0,9
2020-02-03,1969371.5299266665,143371.52992666658,1826000.0,11
2020-02-04,2010611.0312016797,848611.0312016798,1162000.0,7
2020-02-05,2015252.3532217941,521252.35322179424,1494000.0,9
2020-02-06,2013726.1207304741,685726.1207304742,1328000.0,8
2020-02-07,2013228.1207304741,187228.12073047424,1826000.0,11
2020-02-10,2013062.1207304741,21062.120730474242,1992000.0,12
2020-02-11,2028579.7237514674,202579.7237514675,1826000.0,11
2020-02-12,2037935.3359740474,211935.3359740475,1826000.0,11
2020-02-13,2037769.3359740474,45769.33597404751,1992000.0,12
2020-02-14,2037769.3359740474,45769.33597404751,1992000.0,12
2020-02-17,2037769.3359740474,45769.33597404751,1992000.0,12
2020-02-18,2045969.5279026544,219969.52790265437,1826000.0,11
2020-02-19,2060289.8261542462,566289.8261542462,1494000.0,9
2020-02-20,2059791.8261542462,67791.82615424623,1992000.0,12
2020-02-21,2045224.4957342462,385224.4957342462,1660000.0,10
2020-02-24,2003388.5941842461,1339388.5941842461,664000.0,4
2020-02-25,1995133.475234246,1331133.475234246,664000.0,4
2020-02-26,2035773.6282864443,1703773.6282864443,332000.0,2
2020-02-27,2018709.2374264444,2018709.2374264444,0.0,0
2020-02-28,2018709.2374264444,2018709.2374264444,0.0,0
2020-03-02,2018377.2374264444,1686377.2374264444,332000.0,2
2020-03-03,2009896.3606264445,1843896.3606264445,166000.0,1
2020-03-04,2009730.3606264445,1677730.3606264445,332000.0,2
2020-03-05,2009730.3606264445,1677730.3606264445,332000.0,2
2020-03-06,2001255.8274764444,1835255.8274764444,166000.0,1
2020-03-09,2001255.8274764444,1835255.8274764444,166000.0,1
2020-03-10,2001255.8274764444,1835255.8274764444,166000.0,1
2020-03-11,2001255.8274764444,1835255.8274764444,166000.0,1
2020-03-12,1992616.7390464444,1992616.7390464444,0.0,0
2020-03-13,1992616.7390464444,1992616.7390464444,0.0,0
2020-03-16,1992616.7390464444,1992616.7390464444,0.0,0
2020-03-17,1992616.7390464444,1992616.7390464444,0.0,0
2020-03-18,1992616.7390464444,1992616.7390464444,0.0,0
2020-03-19,1992616.7390464444,1992616.7390464444,0.0,0
2020-03-20,1992616.7390464444,1992616.7390464444,0.0,0
2020-03-23,1992616.7390464444,1992616.7390464444,0.0,0
2020-03-24,1992616.7390464444,1992616.7390464444,0.0,0
2020-03-25,1992616.7390464444,1992616.7390464444,0.0,0
2020-03-26,1992616.7390464444,1992616.7390464444,0.0,0
2020-03-27,1992616.7390464444,1992616.7390464444,0.0,0
2020-03-30,1992616.7390464444,1992616.7390464444,0.0,0
2020-03-31,1992616.7390464444,1992616.7390464444,0.0,0
2020-04-01,1992616.7390464444,1992616.7390464444,0.0,0
