date,equity,cash,positions_value,open_positions
2020-01-01,2000000.0,2000000.0,0.0,0
2020-01-02,1999598.0,1597598.0,402000.0,3
2020-01-03,1999598.0,1597598.0,402000.0,3
2020-01-06,1991708.66483,1455708.66483,536000.0,4
2020-01-07,1991306.66483,1053306.66483,938000.0,7
2020-01-08,1991172.66483,919172.6648299999,1072000.0,8
2020-01-09,1991172.66483,919172.6648299999,1072000.0,8
2020-01-10,1991172.66483,919172.6648299999,1072000.0,8
2020-01-13,1999522.3847103836,793522.3847103836,1206000.0,9
2020-01-14,1999522.3847103836,793522.3847103836,1206000.0,9
2020-01-15,2005557.284119878,933557.284119878,1072000.0,8
2020-01-16,2005155.284119878,531155.284119878,1474000.0,11
2020-01-17,2004887.284119878,262887.28411987796,1742000.0,13
2020-01-20,2004887.284119878,262887.28411987796,1742000.0,13
2020-01-21,1990130.307599878,516130.30759987794,1474000.0,11
2020-01-22,1995478.4008956193,253478.40089561924,1742000.0,13
2020-01-23,1995344.4008956193,119344.40089561924,1876000.0,14
2020-01-24,1984242.109857527,644242.109857527,1340000.0,10
2020-01-27,1978118.135827527,772118.1358275269,1206000.0,9
2020-01-28,1978118.135827527,772118.1358275269,1206000.0,9
2020-01-29,1990890.630109482,516890.63010948186,1474000.0,11
2020-01-30,1983305.4046594817,509305.40465948184,1474000.0,11
2020-01-31,1983305.4046594817,509305.40465948184,1474000.0,11
2020-02-03,2006296.7520294818,800296.7520294818,1206000.0,9
2020-02-04,2019906.2705244217,545906.2705244216,1474000.0,11
2020-02-05,2009967.6026044216,267967.60260442155,1742000.0,13
2020-02-06,2018505.2837114627,276505.28371146286,1742000.0,13
2020-02-07,2011544.023671463,269544.0236714629,1742000.0,13
2020-02-10,2021322.528396733,413322.5283967331,1608000.0,12
2020-02-11,2040380.4506510696,432380.45065106975,1608000.0,12
2020-02-12,2052109.7496565934,310109.7496565934,1742000.0,13
2020-02-13,2051841.7496565934,41841.74965659343,2010000.0,15
2020-02-14,2065209.703494221,189209.70349422086,1876000.0,14
2020-02-17,2065075.703494221,55075.703494220856,2010000.0,15
2020-02-18,2065075.703494221,55075.703494220856,2010000.0,15
2020-02-19,2076543.7231546436,200543.72315464358,1876000.0,14
2020-02-20,2076409.7231546436,66409.72315464358,2010000.0,15
2020-02-21,2070299.7051546436,194299.70515464357,1876000.0,14
2020-02-24,2027859.1334046435,687859.1334046435,1340000.0,10
2020-02-25,1994685.0993817863,1190685.0993817863,804000.0,6
2020-02-26,2003933.288397241,1065933.288397241,938000.0,7
2020-02-27,1967121.0168472407,1699121.0168472407,268000.0,2
2020-02-28,1956323.7507872407,1822323.7507872407,134000.0,1
2020-03-02,1956189.7507872407,1688189.7507872407,268000.0,2
2020-03-03,1956189.7507872407,1688189.7507872407,268000.0,2
2020-03-04,1946664.7511872407,1812664.7511872407,134000.0,1
2020-03-05,1946664.7511872407,1812664.7511872407,134000.0,1
2020-03-06,1946664.7511872407,1812664.7511872407,134000.0,1
2020-03-09,1939767.0816272406,1939767.0816272406,0.0,0
2020-03-10,1939767.0816272406,1939767.0816272406,0.0,0
2020-03-11,1939767.0816272406,1939767.0816272406,0.0,0
2020-03-12,1939767.0816272406,1939767.0816272406,0.0,0
2020-03-13,1939767.0816272406,1939767.0816272406,0.0,0
2020-03-16,1939767.0816272406,1939767.0816272406,0.0,0
2020-03-17,1939767.0816272406,1939767.0816272406,0.0,0
2020-03-18,1939767.0816272406,1939767.0816272406,0.0,0
2020-03-19,1939767.0816272406,1939767.0816272406,0.0,0
2020-03-20,1939767.0816272406,1939767.0816272406,0.0,0
2020-03-23,1939767.0816272406,1939767.0816272406,0.0,0
2020-03-24,1939767.0816272406,1939767.0816272406,0.0,0
