symbol,entry_date,entry_price,shares,position_value,conviction_level,stop_price,stop_percent,target_1_price,target_2_price,target_3_price,position_risk_pct,dollar_risk,exit_date,exit_price,exit_reason,pnl_dollars,pnl_percent,r_multiple,holding_days
MU,2020-01-01,52.49920935630798,5714,300000.0,3,48.75,7.15,55.5,58.5,61.51,1.071,21422.98,2020-01-07,56.82542820549011,PROFIT_TARGET_1,24075.796269404294,8.017248174959805,1.1238302853927584,6
DXCM,2020-01-01,54.71234387397766,5483,300000.0,3,50.78,7.18,57.85,61.0,64.14,1.078,21561.04,2020-01-07,57.83356798744202,PROFIT_TARGET_1,16484.351821869437,5.489294645977169,0.7645433942359289,6
LLY,2020-01-01,122.12971414947509,2456,300000.0,3,116.97,4.22,126.26,130.38,134.51,0.634,12672.26,2020-01-10,128.10662997436523,PROFIT_TARGET_1,14015.253333823988,4.667084027247415,1.1059791702389892,9
NVDA,2020-01-01,5.858952754497528,51203,300000.0,3,5.56,5.08,6.1,6.34,6.57,0.765,15307.28,2020-01-13,6.268011200904847,PROFIT_TARGET_1,20320.036542410962,6.766578935201786,1.3274755113466574,12
LRCX,2020-01-01,27.218541357994077,11021,300000.0,3,25.85,5.02,28.31,29.41,30.5,0.754,15082.69,2020-01-16,28.451394856452943,PROFIT_TARGET_1,12949.259890254878,4.31210785556273,0.858550841590345,15
NBIX,2020-01-01,107.54374286270141,2789,300000.0,3,99.31,7.66,114.13,120.72,127.31,1.148,22963.91,2020-01-24,99.31,STOP_LOSS,-23601.38558999996,-7.859269260739247,-1.0277599406204856,23
LRCX,2020-03-31,22.474822417259215,13348,300000.0,3,20.68,8.0,27.9,33.32,38.74,1.198,23957.29,2020-04-02,20.68,STOP_LOSS,-24539.39663999999,-8.17162725274725,-1.0242976990937465,2
NBIX,2020-03-31,86.59327805328368,3464,300000.0,3,79.67,8.0,99.99,113.39,126.79,1.199,23982.24,2020-04-20,101.57918225479126,PROFIT_TARGET_1,51218.41704326635,17.055749931157628,2.1356815436992878,20
LLY,2020-03-31,129.57200154876708,2315,300000.0,3,119.21,8.0,149.37,169.16,188.96,1.199,23988.03,2020-04-24,152.03333556365968,PROFIT_TARGET_1,51305.21465804224,17.084653565781633,2.1387836762608785,24
DXCM,2020-03-31,67.35115600204468,4454,300000.0,3,61.96,8.0,81.24,95.12,109.01,1.201,24012.21,2020-04-24,83.0684456100464,PROFIT_TARGET_1,69316.86989039951,23.082540756043795,2.8867344263151855,24
NVDA,2020-03-31,6.567546906709671,45679,300000.0,3,6.04,8.0,7.83,9.09,10.36,1.205,24097.82,2020-05-11,8.029982443332672,PROFIT_TARGET_1,66134.76646096417,22.022899254400322,2.7444299844169735,41
MU,2020-03-31,41.05833018493652,7306,300000.0,3,37.77,8.0,49.89,58.73,67.57,1.201,24024.54,2020-06-04,49.95020923995972,PROFIT_TARGET_1,64271.29247843858,21.402361797681845,2.6752350551787725,65
