Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency
NVDA,NVIDIA CORP,Information Technology,Equity,1013325776.89,7.727346971795947,1013325776.89,315140467,67066G104,US67066G1040,2379504,--,United States,NASDAQ,AUD,--,USD
AAPL,APPLE INC,Information Technology,Equity,894529531.15,6.8214390883538725,894529531.15,191630732,037833100,US0378331005,2046251,--,United States,NASDAQ,AUD,--,USD
MSFT,MICROSOFT CORP,Information Technology,Equity,801943138.82,6.115400423674368,801943138.82,96388604,594918104,US5949181045,2588173,--,United States,NASDAQ,AUD,--,USD
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,499810292.26,3.8114174497971094,499810292.26,126161189,023135106,US0231351067,2000019,--,United States,NASDAQ,AUD,--,USD
GOOGL,ALPHABET INC CLASS A,Communication,Equity,404023356.77,3.0809723128265,404023356.77,75452150,02079K305,US02079K3059,BYVY8G0,--,United States,NASDAQ,AUD,--,USD
AVGO,BROADCOM INC,Information Technology,Equity,365661400.12,2.78843445746735,365661400.12,61243140,11135F101,US11135F1012,BDZ78H9,--,United States,NASDAQ,AUD,--,USD
GOOG,ALPHABET INC CLASS C,Communication,Equity,324537959.26,2.4748382740418826,324537959.26,60304917,02079K107,US02079K1079,BYY88Y7,--,United States,NASDAQ,AUD,--,USD
META,META PLATFORMS INC CLASS A,Communication,Equity,321438334.14,2.4512013752962045,321438334.14,28244484,30303M102,US30303M1027,B7TL820,--,United States,NASDAQ,AUD,--,USD
TSLA,TESLA INC,Consumer Discretionary,Equity,301561414.61,2.2996253891309473,301561414.61,36441424,88160R101,US88160R1014,B616C79,--,United States,NASDAQ,AUD,--,USD
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,203258081.55,1.54999088820075,203258081.55,23781236,084670702,US0846707026,2073390,--,United States,New York Stock Exchange Inc.,AUD,--,USD
