symbol,source,price,avg_volume,ddv,spread_pct,turnover_pct,float_shares,market_cap,liquidity_score,liquidity_tier,max_position_rec,position_200k_pct_adv,position_400k_pct_adv,position_800k_pct_adv,days_to_liquidate_400k,ddv_score,spread_score,turnover_score,float_score,market_cap_score,exchange,currency
HL,IJH,19.19,20561273.333333332,394570835.26666665,-0.6256517205422367,3.0683948877757556,631487585,12859194368,105.0,TIER 1 - EXCELLENT,$800K (full size),0.05068798353148227,0.10137596706296453,0.20275193412592907,0.0010137596706296453,100.0,100.0,100.0,100.0,100.0,NYQ,USD
MP,IJH,50.52,12744295.0,643841783.4000001,0.07953867568104822,7.190803062924565,141841100,8953683968,104.7907367936,TIER 1 - EXCELLENT,$800K (full size),0.03106353224604962,0.06212706449209924,0.12425412898419848,0.0006212706449209924,100.0,100.0,100.0,100.0,97.907367936,NYQ,USD
LEN,IVV,102.8,6044858.333333333,621411436.6666666,-0.20422055820286683,2.8017372222277013,218089581,25388613632,104.2069488889108,TIER 1 - EXCELLENT,$800K (full size),0.0321847954831386,0.0643695909662772,0.1287391819325544,0.000643695909662772,100.0,100.0,96.03474444455402,100.0,100.0,NYQ,USD
AEO,IJR,26.37,7456570.0,196629750.9,0.0378071833648318,4.398844763833424,153957584,4470031360,103.86750784,TIER 1 - EXCELLENT,$800K (full size),0.10171400771479082,0.20342801542958164,0.4068560308591633,0.0020342801542958164,100.0,100.0,100.0,100.0,88.6750784,NYQ,USD
SATS,IJH,108.7,4040601.6666666665,439213401.1666667,0.03980891719745845,2.581394776781582,135405504,31292155904,103.32557910712633,TIER 1 - EXCELLENT,$800K (full size),0.045535951195648225,0.09107190239129645,0.1821438047825929,0.0009107190239129645,100.0,100.0,91.62789553563164,100.0,100.0,NMS,USD
RF,IVV,27.1,21967310.0,595314101.0,0.03676470588234563,2.5051771943035406,872737639,24181557248,103.02070877721417,TIER 1 - EXCELLENT,$800K (full size),0.03359571017451844,0.06719142034903688,0.13438284069807377,0.0006719142034903689,100.0,100.0,90.10354388607081,100.0,100.0,NYQ,USD
BRBR,IJH,26.73,3592628.3333333335,96030955.35000001,-0.5988023952095813,3.0336634885564155,117681933,3198834688,102.97088966054166,TIER 2 - GOOD,$600K-$800K,0.20826617757895705,0.4165323551579141,0.8330647103158282,0.004165323551579141,98.34623139583334,100.0,100.0,100.0,85.49708672,NYQ,USD
TSLA,IVV,449.72,80710845.0,36297281213.4,0.09359710699851047,2.4267959545378375,2385776379,1495687364608,102.70718381815135,TIER 1 - EXCELLENT,$800K (full size),0.0005510054563705594,0.0011020109127411189,0.0022040218254822377,1.1020109127411188e-05,100.0,100.0,88.53591909075675,100.0,100.0,NMS,USD
GAP,IJH,25.6,8609375.0,220400000.0,0.0390320062451271,2.314835104826085,195816796,9521196032,102.16357962570433,TIER 1 - EXCELLENT,$800K (full size),0.09074410163339383,0.18148820326678766,0.3629764065335753,0.0018148820326678765,100.0,100.0,86.2967020965217,100.0,99.042392064,NYQ,USD
F,IVV,13.12,86585181.66666667,1135997583.4666667,0.07604562737642423,2.21239148420548,3876996795,52276621312,101.84956593682192,TIER 1 - EXCELLENT,$800K (full size),0.01760567125412979,0.03521134250825958,0.07042268501651916,0.0003521134250825958,100.0,100.0,84.2478296841096,100.0,100.0,NYQ,USD
FNB,IJH,17.1,8306138.333333333,142034965.5,0.0,2.319265533767974,352528164,6141354496,101.5053330342719,TIER 1 - EXCELLENT,$800K (full size),0.14081039784531085,0.2816207956906217,0.5632415913812434,0.002816207956906217,100.0,100.0,86.38531067535948,100.0,92.282708992,NYQ,USD
